eventid,iyear,imonth,iday,provstate,city,attacktype1_txt,targtype1_txt,gname,weaptype1_txt
2.00E+11,2000,1,1,Jammu and Kashmir (State),Udhampur,Armed Assault,Police,Lashkar-e-Taiba (LeT),Firearms
2.00E+11,2000,1,1,Assam (State),Kakotibari,Bombing/Explosion,Utilities,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.00E+11,2000,1,3,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,1,6,National Capital Territory of Delhi (Union Territory),New Delhi,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,1,7,Andhra Pradesh (State),Unknown,Bombing/Explosion,Government (General),People's War Group (PWG),Explosives/Bombs/Dynamite
2.00E+11,2000,1,11,Andhra Pradesh (State),Kagajnagar,Bombing/Explosion,Police,People's War Group (PWG),Explosives/Bombs/Dynamite
2.00E+11,2000,1,12,Jammu and Kashmir (State),Khannabal,Armed Assault,Military,Lashkar-e-Taiba (LeT),Firearms
2.00E+11,2000,1,16,Jammu and Kashmir (State),Budgam District,Bombing/Explosion,Utilities,Lashkar-e-Taiba (LeT),Explosives/Bombs/Dynamite
2.00E+11,2000,1,16,Tripura (State),Jirania,Hostage Taking (Kidnapping),Private Citizens & Property,National Liberation Front of Tripura (NLFT),Firearms
2.00E+11,2000,1,19,Assam (State),Unknown,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,1,24,Jammu and Kashmir (State),Srinagar,Armed Assault,Military,Other,Explosives/Bombs/Dynamite
2.00E+11,2000,1,26,Jammu and Kashmir (State),Doda,Assassination,Government (General),Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,1,27,Jammu and Kashmir (State),Jammu,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,1,28,Jammu and Kashmir (State),Jammu,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
