source,target,weight
Ananda Marga,Samastipur,1
Japanese Red Army (JRA),Bombay,1
Maoists,Manipur,1
Meitei extremists,Manipur state,1
Mizo National Front,Aizwal town*,2
Mizo National Front,Amapur town,1
Mizo National Front,Champai,1
Mizo National Front,Mizoram territory (Northeast),1
Mizo National Front,"Mizoram, Aizawl",1
Mizo National Front,near Assam border,1
Mizo National Front,New Delhi,2
Mizo National Front,Raisikah,1
Muslims,Jameshedpur,1
Muslims,Jamshedpur,1
Naga People,Assam state,1
Naxalites,Bihar state,1
Naxalites,Madras,1
Palestinians,New Delhi,1
People's Liberation Army (India),Manipur,1
