eventid,iyear,imonth,iday,country_txt,provstate,city,attacktype1_txt,targtype1_txt,gname,weaptype1_txt
198001010005,1980,1,1,India,,Manipur Imphal,Assassination,Government (General),Maoists,Unknown
198001090004,1980,1,9,India,,Manipur,Armed Assault,Government (General),Maoists,Firearms
198003210002,1980,3,21,India,,Chiaplant,Assassination,Educational Institution,Mizo National Front,Firearms
198003210009,1980,3,21,India,,Tinzol,Armed Assault,NGO,Mizo National Front,Incendiary
198004040001,1980,4,4,India,,Calcutta,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
198004250006,1980,4,25,India,,New Delhi,Assassination,Private Citizens & Property,Unknown,Firearms
198008270001,1980,8,27,India,,Tirupatur,Bombing/Explosion,Police,Naxalites,Explosives/Bombs/Dynamite
198011080002,1980,11,8,India,,Assam,Bombing/Explosion,Utilities,Unknown,Explosives/Bombs/Dynamite
198012130001,1980,12,13,India,,Assam,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
198012190003,1980,12,19,India,,Assam,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
198101150006,1981,1,15,India,,Manipur,Unknown,Police,Unknown,Unknown
198101280002,1981,1,28,India,,Assam,Bombing/Explosion,Military,Anti-Immigrant Activists,Explosives/Bombs/Dynamite
198102130003,1981,2,13,India,,Assam,Bombing/Explosion,Utilities,Anti-Immigrant Activists,Explosives/Bombs/Dynamite
198103180008,1981,3,18,India,,Gauhati (Assam),Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite
198104050001,1981,4,5,India,,Gavharti,Bombing/Explosion,Utilities,Unknown,Explosives/Bombs/Dynamite
198104060001,1981,4,6,India,,"Jornat, Assam",Assassination,Government (General),Unknown,Explosives/Bombs/Dynamite
198104270005,1981,4,27,India,,Nagaland,Assassination,Government (General),Insurgents,Firearms
198106140001,1981,6,14,India,,Assam,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
198107240003,1981,7,24,India,,Unknown,Bombing/Explosion,Transportation,Extremists,Explosives/Bombs/Dynamite
