source,target,weight
Adilabad District,Armed Assault,1
agartala,Bombing/Explosion,1
Ahluwal,Assassination,1
Ahmadgarh,Assassination,1
Ahmedabad,Bombing/Explosion,1
Aijal (in Mizoram),Assassination,1
Ajnala,Armed Assault,2
Ajnala,Assassination,1
Ajnala,Bombing/Explosion,1
Ajnala Town,Armed Assault,1
Akbarpura,Armed Assault,1
Akbarpura,Assassination,1
Akhrur,Armed Assault,1
Alawalpur Village,Armed Assault,1
Amarkalan,Assassination,1
Amarkot,Armed Assault,3
Amarkot,Assassination,1
Ambala,Assassination,1
Ambala City,Armed Assault,1
Ambala City,Assassination,1
Amditsar,Bombing/Explosion,1
Amristar (Punjab),Assassination,1
Amritrar,Armed Assault,1
Amritrar,Assassination,2
Amritsan,Armed Assault,1
Amritsan,Facility/Infrastructure Attack,1
Amritsan District,Assassination,1
Amritsar,Armed Assault,19
Amritsar,Assassination,32
Amritsar,Bombing/Explosion,16
Amritsar,Hostage Taking (Kidnapping),1
Amritsar Area,Assassination,2
Amritsar City,Assassination,4
Amritsar Dist.,Armed Assault,1
Amritsar District,Armed Assault,11
Amritsar District,Assassination,5
Amritsar District,Bombing/Explosion,2
Amritsar District,Hijacking,1
Amritstar district,Assassination,1
Amtitsar District,Armed Assault,1
Anandpur Saheb,Armed Assault,1
Anandpur Saheb,Assassination,1
Ananpur,Assassination,1
Anantnag,Assassination,1
anantnag,Bombing/Explosion,1
Anantnag Town,Bombing/Explosion,1
andhra pradesh state,Bombing/Explosion,1
Anritsar,Armed Assault,1
Armitsar,Assassination,3
Armitsar,Hostage Taking (Kidnapping),1
Asritsar,Assassination,1
Assam,Assassination,1
Assam,Bombing/Explosion,12
Assam State,Bombing/Explosion,6
Assam State (Gauhati),Assassination,1
Atal,Assassination,1
Atwal,Assassination,1
Ba Jala,Assassination,1
Baba Bakala,Assassination,1
Babui,Assassination,1
Bachalor,Armed Assault,1
Bachelor,Assassination,1
Baddowal,Armed Assault,1
Badhni Kalan Village,Armed Assault,1
Badnikurd,Assassination,1
Badri Kalan,Assassination,1
Bahirkhedi,Assassination,1
Baini Gillan,Assassination,1
bairabil,Bombing/Explosion,1
Bakhtapur,Assassination,1
Balachor,Assassination,1
Balarkalan,Assassination,1
Balia Village,Armed Assault,1
Balla,Assassination,1
Balto Bazar,Bombing/Explosion,1
Bangalore City,Assassination,1
Banglore- Mangalore flight,Hijacking,1
Bania,Assassination,1
bardeta,Bombing/Explosion,1
Barpeta Road,Bombing/Explosion,1
Bartam,Armed Assault,1
Batala,Armed Assault,5
Batala,Assassination,3
Batala,Bombing/Explosion,3
Batticaloa,Bombing/Explosion,1
Beas,Armed Assault,1
Belh Majra,Assassination,1
Bella village,Assassination,1
Bengal,Bombing/Explosion,1
Bhagana,Armed Assault,1
Bhai Ladhu,Assassination,1
Bhantinda,Assassination,1
Bhatinda,Armed Assault,1
Bhatinda,Assassination,3
Bhatinda,Bombing/Explosion,1
Bhatinda,Hostage Taking (Kidnapping),1
Bhatinda District,Assassination,1
Bhatinda town,Facility/Infrastructure Attack,3
Bhikwind,Armed Assault,1
Bholi,Assassination,1
Bhoragaon,Armed Assault,1
Bhuli Karimpur,Assassination,1
bihar,Bombing/Explosion,1
Bihar State,Assassination,1
Bikki,Armed Assault,1
Billowan,Armed Assault,1
Bokhajhuli,Armed Assault,1
Bombay,Assassination,2
Bombay,Bombing/Explosion,1
Bongaigaon,Bombing/Explosion,2
Boo,Assassination,1
Brahma Attari,Assassination,1
Bruj Kharon,Assassination,1
Buhuyan,Assassination,1
Bulara,Assassination,1
Bundala,Assassination,1
Burala,Assassination,1
Bushertala,Armed Assault,1
Buttar,Armed Assault,1
Calcutta,Assassination,1
Calcutta,Bombing/Explosion,2
Chabal,Armed Assault,1
Chakania,Armed Assault,1
Chakundal,Assassination,1
Chalita Bankur,Armed Assault,1
Chandgarh,Armed Assault,1
Chandigarh,Armed Assault,4
Chandigarh,Assassination,14
Chandigarh,Bombing/Explosion,5
Chandigarh (Punjab),Bombing/Explosion,1
Chandigarh(Punjab),Assassination,1
Chandigrarh,Armed Assault,1
Chandrashekhar,Armed Assault,1
Chang Village,Assassination,1
Chardigarh,Bombing/Explosion,1
Chatala-Amritsar dist.,Assassination,1
Chawal,Armed Assault,1
Cheemakhuddi,Assassination,1
Cheemapat,Assassination,1
Cheherta,Assassination,1
Chevella Village,Hostage Taking (Kidnapping),1
Chiaplant,Assassination,1
Chimabagh,Assassination,1
chintpurani,Bombing/Explosion,1
Chitamla Village,Assassination,1
Chitta Village,Assassination,1
Chogawan,Assassination,1
Chogbasta,Armed Assault,1
Chola,Assassination,1
Chun,Assassination,1
Chwindi devi,Bombing/Explosion,1
Dada,Armed Assault,1
Dakoha Village,Assassination,2
Dakshin Kanengdesha,Armed Assault,1
Dalli,Assassination,1
Dallin,Assassination,1
Danktal,Bombing/Explosion,1
Daren,Hostage Taking (Kidnapping),1
Darjeeling,Armed Assault,2
Darjeeling,Assassination,6
Darjeeling,Bombing/Explosion,20
Darjeeling,Facility/Infrastructure Attack,5
Darjeeling Area,Facility/Infrastructure Attack,1
Deepsinghwalla,Assassination,1
Delhi,Armed Assault,2
Delhi,Assassination,7
Delhi,Bombing/Explosion,10
Delhi,Facility/Infrastructure Attack,1
Derakalan,Armed Assault,1
Deri,Armed Assault,1
Deriwal,Armed Assault,1
Devanchara,Armed Assault,1
Dhaini Basa Singh Village,Armed Assault,1
Dhaligaon,Bombing/Explosion,1
Dhaliwal,Assassination,1
Dharamgarh,Assassination,1
Dhariwal,Armed Assault,1
Dhariwal Kalan,Assassination,1
Dhariwal-northern Punjob,Assassination,1
Dhaurewal,Assassination,1
Dhilwan Village,Assassination,1
Dhreli,Armed Assault,1
Dhulewal,Assassination,1
Dhuri Town,Assassination,1
"Dimapur, Nagaland",Assassination,1
Dinanagar,Bombing/Explosion,1
Dubricheda Village,Armed Assault,1
Durgapur,Assassination,1
Dusibandh,Armed Assault,1
en route from Chandigarh to Srinagar,Hijacking,1
en route from Srinagar to Delhi,Hijacking,1
Esuwagaon,Bombing/Explosion,1
Fakirgram,Unarmed Assault,1
Faridkat,Bombing/Explosion,1
Faridkot District,Armed Assault,1
Faridkot District,Assassination,3
Fariokot,Armed Assault,1
Fatehgarh Churian,Armed Assault,1
Fatehgarh Churian,Assassination,1
Fatehpur,Armed Assault,1
Ferozepore,Armed Assault,1
Ferozepore,Assassination,1
Ferozepore area,Armed Assault,1
Ferozepore District,Armed Assault,2
Ferozepore District,Assassination,3
Ferozepur Dist.,Assassination,1
Ferozepur District,Armed Assault,2
Firozapur village,Assassination,1
Gadhwala,Assassination,1
Gaginangal,Assassination,1
Gangarampur,Armed Assault,1
Gariala,Assassination,1
Gauhati,Assassination,1
Gauhati,Bombing/Explosion,9
Gauhati (Assam),Bombing/Explosion,1
Gavharti,Bombing/Explosion,1
Ghadiara,Assassination,1
Ghagharvana,Assassination,1
Ghariala,Armed Assault,1
Ghawanda devi,Bombing/Explosion,1
Gilbari,Assassination,1
Gokkuwal,Assassination,1
Gokulpar,Armed Assault,1
Golgoddam Village,Armed Assault,1
Gorkajuli,Armed Assault,1
gosaigon subdivision,Bombing/Explosion,1
Gossaigoan,Bombing/Explosion,1
Gothrai,Assassination,1
Guardaspur Dist,Hostage Taking (Kidnapping),1
Gugapir,Armed Assault,1
Gujarpur Dist.,Armed Assault,1
Guman,Assassination,1
Gumang Kalaveli (Punjab),Assassination,1
Guragaon,Armed Assault,1
Gurdapur district,Assassination,1
Gurdasdur,Bombing/Explosion,1
Gurdaspeer District,Armed Assault,1
Gurdaspur,Assassination,1
Gurdaspur,Bombing/Explosion,2
Gurdaspur City,Bombing/Explosion,1
Gurdaspur District,Armed Assault,4
Gurdaspur District,Assassination,4
Gurdaspur District,Bombing/Explosion,1
Gurdspur,Bombing/Explosion,1
Gurjarpura,Armed Assault,1
guwahati,Bombing/Explosion,1
Haltabadla,Assassination,1
Hargobindpur,Armed Assault,1
Hargobindpur,Assassination,1
Harike,Armed Assault,1
Haryana,Armed Assault,3
Haryana state,Bombing/Explosion,1
Hashiapur District,Armed Assault,1
Hira,Assassination,1
Hisar,Bombing/Explosion,1
Hoshiapur,Assassination,1
Hoshiapur,Bombing/Explosion,1
Hoshiapur District,Armed Assault,1
Hoshiardpur district,Assassination,1
Hoshiarpur,Bombing/Explosion,2
Hoshiarpur District,Armed Assault,2
Imphal,Armed Assault,1
Imphal,Assassination,1
Imphal,Bombing/Explosion,1
Indira Colony,Assassination,2
Ishan Para,Armed Assault,1
Jabal,Assassination,1
Jabalpur,Bombing/Explosion,1
Jagdeo Kalan,Armed Assault,1
Jagraon,Assassination,1
Jagtial,Bombing/Explosion,1
Jahan Khelan,Assassination,1
Jahanabad Dist,Armed Assault,1
Jahandar Village,Assassination,1
Jahangir Kalan,Assassination,1
Jaito,Assassination,1
Jalandhar,Armed Assault,1
Jalandhar,Assassination,1
Jalandhar District,Armed Assault,1
Jalota,Armed Assault,1
Jalpaiguri District,Assassination,1
Jammu,Armed Assault,2
Jammu,Bombing/Explosion,1
Jammu town,Bombing/Explosion,1
Jamphal,Armed Assault,1
Jamuguri,Bombing/Explosion,1
Jandiala,Armed Assault,1
Jandiala County,Armed Assault,1
Jhabal,Assassination,1
Jhanger,Assassination,1
Jhugian,Armed Assault,1
Jhuliwala,Armed Assault,1
Jodhan Nagri,Assassination,1
Jodhpur,Hijacking,1
Johal,Assassination,1
"Jornat, Assam",Assassination,1
Jullandur District,Armed Assault,1
Jullundan (Punjab),Assassination,1
Jullunder,Assassination,1
Jullunder District,Armed Assault,1
Jullundhur,Bombing/Explosion,1
Jullundun District,Assassination,1
Jullundur,Armed Assault,1
Jullundur,Assassination,2
Jullundur,Bombing/Explosion,4
Jullundur,Hostage Taking (Kidnapping),1
Jullundur City,Assassination,1
Jullundur Dist.,Assassination,1
Jullundur District,Assassination,1
Jullundur town,Assassination,1
Kabarwala,Armed Assault,1
Kabipur,Armed Assault,1
Kada Viohan,Assassination,1
Kadian,Assassination,1
Kaithal,Armed Assault,1
Kala Afghana,Bombing/Explosion,1
Kalachara,Assassination,1
Kalanour,Assassination,1
Kaler,Armed Assault,1
Kalimpong,Armed Assault,2
Kalimpong,Bombing/Explosion,3
Kalimpong,Hostage Taking (Kidnapping),1
Kalimpong Town,Bombing/Explosion,1
Kamalawala,Assassination,1
Kampur,Bombing/Explosion,1
kangan,Bombing/Explosion,1
Kangraiyan,Armed Assault,1
Kanpur,Armed Assault,1
Kanpur,Assassination,1
Kapurthala District,Assassination,1
Kapurthala District,Bombing/Explosion,1
Karadwala,Assassination,1
Karisari,Armed Assault,1
Karmuwal,Armed Assault,1
karnal,Bombing/Explosion,1
kashmir state,Bombing/Explosion,5
Kathley,Assassination,1
Kathunangal,Bombing/Explosion,1
Kedymandi,Armed Assault,1
Khadur Saheb,Assassination,1
Khajoura,Assassination,1
Khalijian,Assassination,1
Khalsanagar-basti,Assassination,1
Khandwala,Assassination,1
Khangnadesian,Assassination,1
khargone,Bombing/Explosion,2
Khasawal,Assassination,1
Khati,Assassination,1
Kheerawali Village,Armed Assault,1
Khera,Assassination,1
Kishan Pura Village,Assassination,1
Kler Village,Assassination,1
Kohali,Armed Assault,3
Kokrajhar,Armed Assault,2
Kokrajhar,Bombing/Explosion,1
Kokrajhar District,Armed Assault,1
Kokrajhar district,Assassination,1
kokrajhar district,Bombing/Explosion,1
Kotla,Assassination,1
Kotsukia,Armed Assault,1
Kotta Gol Shah,Bombing/Explosion,1
Kuiripetha,Assassination,1
Kulian,Assassination,1
Kullar,Assassination,1
Kuriwala Village,Assassination,1
Kurseong,Armed Assault,7
Kurseong,Bombing/Explosion,1
Kurseong,Facility/Infrastructure Attack,1
Kurukshetra,Bombing/Explosion,1
Lakhana Village,Assassination,1
Lakhanwal,Assassination,1
Lakhne,Assassination,1
Lakhuwal village,Assassination,1
Lalru,Armed Assault,1
Lamlai,Armed Assault,1
Langeri,Assassination,1
Lohara,Armed Assault,1
Lokka,Assassination,1
Loria Para,Armed Assault,1
Ludhiana,Armed Assault,4
Ludhiana,Assassination,11
Ludhiana,Bombing/Explosion,12
Ludhiana City,Assassination,2
Ludhiana Dist,Assassination,1
Ludhiana District,Assassination,4
Ludhianna,Assassination,1
Ludhiansa,Assassination,1
Machuria Village,Armed Assault,1
Madhaybrar,Assassination,1
Madhoke Village,Armed Assault,1
Madras,Bombing/Explosion,3
Madura,Bombing/Explosion,1
Maharashtra,Armed Assault,1
Mahisabari,Armed Assault,1
Mahmoobnagar Dist.,Hostage Taking (Kidnapping),1
Mahmudpur,Assassination,1
Maisanpur,Assassination,1
Makhu,Armed Assault,1
Makoo,Hostage Taking (Kidnapping),1
Malanwala,Armed Assault,1
Malibigha,Assassination,1
Malla,Armed Assault,1
Maltoha,Armed Assault,1
Mand,Armed Assault,1
Mand,Assassination,1
Manipur,Armed Assault,2
Manipur,Bombing/Explosion,5
Manipur Imphal,Assassination,1
Mann,Assassination,1
Manochahal,Assassination,1
Manwal,Assassination,1
Maroor Village,Bombing/Explosion,1
Maruwai,Armed Assault,1
Masania,Armed Assault,1
Masapur,Assassination,1
Mashhad,Assassination,1
Maslee,Armed Assault,1
Mathewal,Assassination,1
Matinda,Assassination,1
Meerut 50mi NE of New Delhi,Assassination,1
Meethapur,Assassination,1
Mehadpur,Assassination,1
Mehanwana,Armed Assault,1
Mehma,Assassination,1
Merrut,Bombing/Explosion,1
Mirakut,Armed Assault,1
Mirich Gogra Mahal,Assassination,1
Mirik,Armed Assault,1
Mithapur,Assassination,1
Mizoram,Assassination,1
Moga,Armed Assault,1
Moga,Bombing/Explosion,1
Moga,Hijacking,1
Moga Subd,Armed Assault,1
Mohali,Assassination,1
Mongpu,Armed Assault,1
"Mothawala (Kapurthala Dist.), Punjab",Assassination,1
Muchhal,Assassination,1
Mudki,Armed Assault,1
Mustapur,Armed Assault,1
Nabuke,Assassination,1
nadu state,Bombing/Explosion,1
Nagaland,Assassination,1
Nakaon,Bombing/Explosion,1
Nakodar,Armed Assault,2
Nalavdar District,Bombing/Explosion,1
Nalbari,Armed Assault,1
Nalbari,Assassination,1
Nalbari District,Armed Assault,1
nalbari district,Bombing/Explosion,1
Nathuchak,Armed Assault,1
Navasar,Assassination,1
Navawarian,Assassination,1
Near Amritsar,Armed Assault,1
New Dehli,Bombing/Explosion,2
New Delhi,Armed Assault,5
New Delhi,Assassination,16
New Delhi,Bombing/Explosion,22
New Delhi- Srinagar,Hijacking,1
New Dheli,Assassination,1
Nike,Assassination,1
Noharkaya Village,Assassination,1
northern India,Assassination,1
Northern India,Facility/Infrastructure Attack,2
Nowgong,Bombing/Explosion,2
Nutan Bazar,Armed Assault,1
Obuke,Armed Assault,1
Pahki,Assassination,1
Pakhokke,Armed Assault,1
Palahi,Assassination,1
Palliwalli,Armed Assault,1
Panchkula,Bombing/Explosion,1
Pandori,Armed Assault,1
Pandorigolan,Assassination,1
Panduri Village,Armed Assault,1
Pangota,Armed Assault,1
Panipat,Armed Assault,2
Panjora,Assassination,1
Parjeeling,Armed Assault,2
Pathankot,Bombing/Explosion,2
Patiala,Armed Assault,2
Patiala,Assassination,4
Patiala,Bombing/Explosion,2
Patiala Dist.,Assassination,1
Patiala District,Armed Assault,1
Patiala District,Assassination,2
Patiali,Assassination,1
Patilia,Assassination,1
Patti,Armed Assault,1
