source,target,weight
Adilabad District,Police,1
agartala,Private Citizens & Property,1
Ahluwal,Private Citizens & Property,1
Ahmadgarh,Police,1
Aijal (in Mizoram),Government (General),1
Ajnala,Business,1
Ajnala,Police,1
Ajnala,Private Citizens & Property,2
Ajnala Town,Religious Figures/Institutions,1
Akbarpura,Business,1
Akbarpura,Private Citizens & Property,1
Akhrur,Military,1
Alawalpur Village,Private Citizens & Property,1
Amarkalan,Private Citizens & Property,1
Amarkot,Business,1
Amarkot,Police,1
Amarkot,Private Citizens & Property,1
Amarkot,Transportation,1
Ambala,Police,1
Ambala City,Government (General),1
Ambala City,Police,1
Amditsar,Religious Figures/Institutions,1
Amristar (Punjab),Police,1
Amritear,Transportation,1
Amritrar,Educational Institution,1
Amritrar,Government (General),2
Amritsan,Government (Diplomatic),1
Amritsan,Government (General),1
Amritsan District,Private Citizens & Property,1
Amritsar,Business,8
Amritsar,Educational Institution,1
Amritsar,Government (General),7
Amritsar,Military,1
Amritsar,Police,10
Amritsar,Private Citizens & Property,19
Amritsar,Religious Figures/Institutions,12
Amritsar,Terrorists/Non-State Militia,3
Amritsar,Transportation,6
Amritsar,Violent Political Party,5
Amritsar Area,Business,1
Amritsar Area,Religious Figures/Institutions,1
Amritsar City,Government (General),1
Amritsar City,Police,1
Amritsar City,Private Citizens & Property,2
Amritsar Dist.,Private Citizens & Property,1
Amritsar District,Business,2
Amritsar District,Military,2
Amritsar District,Police,9
Amritsar District,Private Citizens & Property,4
Amritsar District,Religious Figures/Institutions,1
Amritsar District,Transportation,1
Amritstar district,Police,1
Amtitsar District,Police,1
Anandpur Saheb,Private Citizens & Property,2
Ananpur,Government (General),1
Anantnag,Business,1
anantnag,Government (General),1
Anantnag Town,Police,1
andhra pradesh state,Government (General),1
Anritsar,Religious Figures/Institutions,1
Armitsar,Business,1
Armitsar,Government (General),1
Armitsar,Religious Figures/Institutions,1
Armitsar,Transportation,1
Asritsar,Religious Figures/Institutions,1
Assam,Government (General),1
Assam,Military,1
Assam,Private Citizens & Property,1
Assam,Transportation,8
Assam,Utilities,2
Assam State,Police,1
Assam State,Transportation,5
Assam State (Gauhati),Government (General),1
Atal,Private Citizens & Property,1
Atwal,Private Citizens & Property,1
Ba Jala,Private Citizens & Property,1
Baba Bakala,Private Citizens & Property,1
Babui,Business,1
Bachalor,Police,1
Baddowal,Private Citizens & Property,1
Badhni Kalan Village,Private Citizens & Property,1
Badnikurd,Private Citizens & Property,1
Badri Kalan,Private Citizens & Property,1
Bagha Purana,Police,1
Bahirkhedi,Violent Political Party,1
Baini Gillan,Private Citizens & Property,1
bairabil,Transportation,1
Baisi Munipara,Private Citizens & Property,1
Bakhtapur,Private Citizens & Property,1
Balachor,Government (General),1
Balarkalan,Religious Figures/Institutions,1
Balia Village,Police,1
Balla,Private Citizens & Property,1
Balto Bazar,Private Citizens & Property,1
Bangalore City,Government (General),1
Banglore- Mangalore flight,Airports & Aircraft,1
Bania,Private Citizens & Property,1
bardeta,Transportation,1
Barpeta Road,Business,1
Bartam,Police,1
Batala,Military,2
Batala,Police,1
Batala,Private Citizens & Property,9
Batticaloa,Military,1
Beas,Government (General),1
Belh Majra,Government (General),1
Bella village,Private Citizens & Property,1
Bengal,Business,1
Bengtol,Police,1
Bhagana,Police,1
Bhai Ladhu,Private Citizens & Property,1
Bhantinda,Government (General),1
Bhatinda,Government (General),1
Bhatinda,Police,1
Bhatinda,Private Citizens & Property,2
Bhatinda,Religious Figures/Institutions,1
Bhatinda,Transportation,1
Bhatinda District,Private Citizens & Property,1
Bhatinda town,Religious Figures/Institutions,3
Bhikwind,Police,1
Bholi,Educational Institution,1
Bhoragaon,Private Citizens & Property,1
Bhrigudas Bari Village,Private Citizens & Property,1
Bhuli Karimpur,Private Citizens & Property,1
bihar,Private Citizens & Property,1
Bihar State,Violent Political Party,1
Bikki,Police,1
Billowan,Private Citizens & Property,1
Bokhajhuli,Private Citizens & Property,1
Bombay,Government (Diplomatic),1
Bombay,Government (General),1
Bombay,Private Citizens & Property,1
Bongaigaon,Business,1
Bongaigaon,Private Citizens & Property,1
Boo,Police,1
Brahma Attari,Private Citizens & Property,1
Bruj Kharon,Private Citizens & Property,1
Buhuyan,Private Citizens & Property,1
Bulara,Government (General),1
Bundala,Private Citizens & Property,1
Burala,Private Citizens & Property,1
Bushertala,Police,1
Buttar,Private Citizens & Property,1
Calcutta,Police,1
Calcutta,Transportation,1
Calcutta,Violent Political Party,1
Chabal,Police,1
Chakania,Violent Political Party,1
Chakundal,Police,1
Chalita Bankur,Business,1
Chandgarh,Government (General),1
Chandigarh,Educational Institution,1
Chandigarh,Government (General),7
Chandigarh,Military,1
Chandigarh,Police,5
Chandigarh,Private Citizens & Property,5
Chandigarh,Religious Figures/Institutions,1
Chandigarh,Transportation,2
Chandigarh,Violent Political Party,2
Chandigarh (Punjab),Religious Figures/Institutions,1
Chandigarh(Punjab),Private Citizens & Property,1
Chandigrarh,Police,1
Chandrashekhar,Private Citizens & Property,1
Chang Village,Police,1
Chardigarh,Transportation,1
Chatala-Amritsar dist.,Private Citizens & Property,1
Chawal,Police,1
Cheemakhuddi,Private Citizens & Property,1
Cheemapat,Private Citizens & Property,1
Chevella Village,Government (General),1
Chiaplant,Educational Institution,1
Chimabagh,Police,1
chintpurani,Transportation,1
Chitamla Village,Religious Figures/Institutions,1
Chitta Village,Private Citizens & Property,1
Chogawan,Police,1
Chogbasta,Private Citizens & Property,1
Chola,Private Citizens & Property,1
Chun,Business,1
Chwindi devi,Religious Figures/Institutions,1
Dada,Police,1
Dakoha Village,Police,1
Dakoha Village,Religious Figures/Institutions,1
Dakshin Kanengdesha,Police,1
Dalli,Educational Institution,1
Dallin,Private Citizens & Property,1
Danktal,Transportation,1
Daren,Police,1
Darjeeling,Airports & Aircraft,1
Darjeeling,Business,3
Darjeeling,Educational Institution,6
Darjeeling,Government (General),6
Darjeeling,Police,5
Darjeeling,Private Citizens & Property,5
Darjeeling,Telecommunication,1
Darjeeling,Transportation,3
Darjeeling,Utilities,1
Darjeeling,Violent Political Party,2
Darjeeling Area,Business,1
Darmia-Avransabad Dist-Bihar,Private Citizens & Property,1
Deepsinghwalla,Private Citizens & Property,1
Delhi,Airports & Aircraft,1
Delhi,Business,4
Delhi,Government (Diplomatic),1
Delhi,Government (General),4
Delhi,Police,2
Delhi,Private Citizens & Property,4
Delhi,Transportation,2
Delhi,Violent Political Party,2
