eventid,iyear,imonth,iday,country_txt,city,attacktype1_txt,targtype1_txt,weaptype1_txt
199001010001,1990,1,1,India,Srinigar,Bombing/Explosion,Government (General),Explosives/Bombs/Dynamite
199001010002,1990,1,1,India,Safakadal,Bombing/Explosion,Business,Explosives/Bombs/Dynamite
199001010003,1990,1,1,India,Batamalu,Bombing/Explosion,Transportation,Explosives/Bombs/Dynamite
199001030001,1990,1,3,India,Palampur Village,Bombing/Explosion,Transportation,Explosives/Bombs/Dynamite
199001050002,1990,1,5,India,Makhu,Armed Assault,Private Citizens & Property,Firearms
199001050005,1990,1,5,India,Bade village,Assassination,Private Citizens & Property,Firearms
199001050006,1990,1,5,India,Batala Police District,Assassination,Private Citizens & Property,Firearms
199001060001,1990,1,6,India,Nahajia,Bombing/Explosion,Private Citizens & Property,Explosives/Bombs/Dynamite
199001060002,1990,1,6,India,Sopor,Bombing/Explosion,Government (General),Explosives/Bombs/Dynamite
199001070001,1990,1,7,India,New Delhi,Bombing/Explosion,Government (General),Explosives/Bombs/Dynamite
199001070002,1990,1,7,India,Baramula town,Bombing/Explosion,Business,Explosives/Bombs/Dynamite
199001080001,1990,1,8,India,Batamalu,Facility/Infrastructure Attack,Educational Institution,Incendiary
199001080002,1990,1,8,India,Jammu,Bombing/Explosion,Government (General),Explosives/Bombs/Dynamite
199001080003,1990,1,8,India,Anantnag,Facility/Infrastructure Attack,Government (General),Incendiary
199001080004,1990,1,8,India,Sopor,Facility/Infrastructure Attack,Business,Incendiary
199001080005,1990,1,8,India,Anantnag,Armed Assault,Police,Firearms
199001080011,1990,1,8,India,Bhuduwalla,Assassination,Police,Firearms
199001080012,1990,1,8,India,Bhunduwalla,Assassination,Police,Unknown
199001080013,1990,1,8,India,Srinigar,Assassination,Police,Firearms
199001090002,1990,1,9,India,Srinigar,Facility/Infrastructure Attack,Business,Incendiary
199001090003,1990,1,9,India,Srinigar,Facility/Infrastructure Attack,Government (General),Incendiary
199001090004,1990,1,9,India,Srinigar,Facility/Infrastructure Attack,Educational Institution,Incendiary
199001090008,1990,1,9,India,Bherwar,Assassination,Government (General),Firearms
199001100003,1990,1,10,India,Srinigar,Armed Assault,Police,Firearms
199001100009,1990,1,10,India,Jullundur,Assassination,Police,Explosives/Bombs/Dynamite
199001150006,1990,1,15,India,Srinigar,Assassination,Police,Firearms
199001160014,1990,1,16,India,Srinigar,Assassination,Police,Melee
199001190002,1990,1,19,India,Bawianwali Balaggan,Armed Assault,Private Citizens & Property,Firearms
199001200001,1990,1,20,India,Srinigar,Bombing/Explosion,Transportation,Explosives/Bombs/Dynamite
199001240005,1990,1,24,India,Amritsar,Assassination,Violent Political Party,Firearms
199001250009,1990,1,25,India,Srinigar,Armed Assault,Military,Firearms
199001300005,1990,1,30,India,Andhra Pradesh State,Hostage Taking (Kidnapping),Government (General),Unknown
199002010001,1990,2,1,India,Srinigar,Armed Assault,Business,Firearms
199002040001,1990,2,4,India,Sopore,Bombing/Explosion,Private Citizens & Property,Explosives/Bombs/Dynamite
199002040002,1990,2,4,India,Sopore,Bombing/Explosion,Educational Institution,Explosives/Bombs/Dynamite
199002040003,1990,2,4,India,Amritsar,Bombing/Explosion,Government (General),Explosives/Bombs/Dynamite
199002040004,1990,2,4,India,Amritsar,Bombing/Explosion,Transportation,Explosives/Bombs/Dynamite
199002040011,1990,2,4,India,Amritsar,Armed Assault,Transportation,Firearms
199002060001,1990,2,6,India,Haldwani Town,Bombing/Explosion,Business,Explosives/Bombs/Dynamite
