source,target,CountOfattacktype1_txt
Abohar,Bombing/Explosion,2
Acchabal,Armed Assault,1
Adilabad,Armed Assault,1
Agartala,Assassination,1
Ahmadgarh,Armed Assault,1
Ahmedabad,Armed Assault,1
Ahmedgarh,Armed Assault,1
Aizawl,Unarmed Assault,1
Ajarbal,Bombing/Explosion,1
Allahabad,Unarmed Assault,1
Amarpur,Armed Assault,1
Ambaia,Assassination,1
"Ambala, Punjab",Bombing/Explosion,1
Amristar,Bombing/Explosion,1
Amritsan,Bombing/Explosion,1
Amritsar,Armed Assault,7
Amritsar,Assassination,14
Amritsar,Bombing/Explosion,12
Amritsar,Hijacking,1
Amritsar,Hostage Taking (Kidnapping),3
Amritsar City,Armed Assault,1
Amritsar City,Assassination,1
Amritsar Dist.,Assassination,2
Amritsar District,Armed Assault,2
Amritsar District,Assassination,4
Amritson,Assassination,1
Anandabajarin Gobardhan,Bombing/Explosion,1
"Anantang D., J+K",Bombing/Explosion,1
"Ananthapur D, Andhra Pradesh State",Bombing/Explosion,1
Anantnag,Armed Assault,4
Anantnag,Assassination,4
Anantnag,Bombing/Explosion,5
Anantnag,Facility/Infrastructure Attack,1
Anantnag,Hostage Taking (Kidnapping),3
Anantnag Dist.,Bombing/Explosion,1
Anantnag district,Armed Assault,1
Anantnag District,Assassination,1
Anantnag District,Bombing/Explosion,1
"Anantnag Town, Jammu and Kashmir State",Bombing/Explosion,5
"Anantnag, J+K",Armed Assault,1
"Anantnag, J+K",Unarmed Assault,1
"Anantnaj Dist., J + K S.",Bombing/Explosion,1
Anatang Dist,Bombing/Explosion,1
Andhra Pradeol State,Bombing/Explosion,1
Andhra Pradesh,Armed Assault,2
Andhra Pradesh,Bombing/Explosion,2
Andhra Pradesh,Facility/Infrastructure Attack,1
Andhra Pradesh,Hostage Taking (Kidnapping),3
Andhra Pradesh S.,Bombing/Explosion,2
Andhra Pradesh State,Bombing/Explosion,1
Andhra Pradesh State,Hostage Taking (Kidnapping),2
"Andhra, Pradesh State",Bombing/Explosion,1
Ankudar,Armed Assault,1
"Arai Mila, Najaland",Bombing/Explosion,1
Asam S.,Armed Assault,1
Assam,Armed Assault,6
Assam,Assassination,3
Assam,Bombing/Explosion,3
Assam S.,Bombing/Explosion,1
Assam S.,Facility/Infrastructure Attack,1
Assam State,Armed Assault,7
Assam State,Assassination,2
Assam State,Bombing/Explosion,8
Assam State,Hostage Taking (Kidnapping),10
Assam Sttate,Armed Assault,1
Assan S.,Armed Assault,3
Assan S.,Bombing/Explosion,1
Attamohanpara,Hostage Taking (Kidnapping),1
Ayodhya,Bombing/Explosion,1
Ayodhya,Facility/Infrastructure Attack,1
Azamgarh,Assassination,1
Babural,Assassination,1
Bade village,Assassination,1
Badgam,Armed Assault,1
Badgam District,Armed Assault,1
Badgam District,Assassination,1
Badowal,Armed Assault,1
Bahugund,Bombing/Explosion,1
Bairokundu,Bombing/Explosion,1
Bajbur,Bombing/Explosion,2
"Balasore, Orissa S.",Armed Assault,1
Balmatkote,Armed Assault,1
"Banabari, Assam",Armed Assault,1
Bandipora,Armed Assault,3
Bandipore,Armed Assault,1
"Bangalore, Karnataka State",Bombing/Explosion,2
Bangalure,Bombing/Explosion,1
Bangdar,Armed Assault,1
Bangwani,Bombing/Explosion,1
Banihal,Bombing/Explosion,1
Banur,Bombing/Explosion,1
Bara Village,Armed Assault,1
Barama,Armed Assault,1
"Barama, Assam",Bombing/Explosion,1
Baramula,Armed Assault,1
Baramula Area,Armed Assault,1
Baramula town,Bombing/Explosion,1
"Baramula V., J+K",Bombing/Explosion,1
Baramulla,Armed Assault,1
Baramulla,Assassination,2
Baramulla,Bombing/Explosion,1
Baramulla District,Armed Assault,1
Baramulla Town,Bombing/Explosion,1
"Baramulla, J+K",Bombing/Explosion,1
Barankot,Armed Assault,1
Bareilly,Bombing/Explosion,1
Barnala,Armed Assault,2
Barnala,Assassination,3
Barpeta,Bombing/Explosion,2
Barpeta D.,Bombing/Explosion,1
Barpeta District,Armed Assault,16
Barpetta D.,Armed Assault,1
Barsala town,Armed Assault,1
"Barshala V., J+K",Armed Assault,1
"Barwa V, Siwan D, Bihars",Bombing/Explosion,1
Batakote,Armed Assault,1
Batala,Armed Assault,6
Batala,Bombing/Explosion,3
Batala City,Bombing/Explosion,1
Batala Police District,Assassination,1
Batamalu,Bombing/Explosion,1
Batamalu,Facility/Infrastructure Attack,1
Bathe-Lakshmanpur V.,Armed Assault,1
Batmaloo,Hostage Taking (Kidnapping),1
Bawianwali Balaggan,Armed Assault,1
Beas,Armed Assault,1
Belaganj Village,Assassination,1
Bhaderwah,Bombing/Explosion,1
Bhagapurana,Bombing/Explosion,1
Bhair Pura,Armed Assault,1
