source,target,weight
Achwan-I-Mushbani,Hostage Taking (Kidnapping),1
Al Faran,Hijacking,1
Al Faran,Hostage Taking (Kidnapping),1
Al Hadid,Hostage Taking (Kidnapping),2
Al Jehad,Assassination,1
Al Jehad,Hostage Taking (Kidnapping),1
Al Ummah,Bombing/Explosion,12
al-Fatah,Hostage Taking (Kidnapping),1
All India Anna Dravida Munetra Kazgan Party,Assassination,1
All India Anna Dravida Munetra Kazgan Party,Bombing/Explosion,1
All Tripura Tiger Force (ATTF),Armed Assault,8
Allah's Tigers,Bombing/Explosion,1
Al-Umar Mujahideen,Armed Assault,2
Al-Umar Mujahideen,Bombing/Explosion,2
Al-Umar Mujahideen,Hostage Taking (Kidnapping),3
Babbar Khalsa International (BKI),Assassination,1
Babbar Khalsa International (BKI),Bombing/Explosion,2
Babbar Khalsa International (BKI),Hostage Taking (Kidnapping),1
Bengali Tiger Force (BTF),Armed Assault,1
Bharat Zinc Workers,Unarmed Assault,1
Bharatiya Janata Party,Assassination,1
Bharatiya Janata Party,Facility/Infrastructure Attack,1
Bhinderanwale Tiger Force of Khalistan (BTHK),Armed Assault,2
Bhinderanwale Tiger Force of Khalistan (BTHK),Assassination,1
Bhinderanwale Tiger Force of Khalistan (BTHK),Bombing/Explosion,4
Bihar People's  Party (Hindu militants),Assassination,1
Bodo Liberation Tigers (BLT),Armed Assault,3
Bodo Liberation Tigers (BLT),Bombing/Explosion,2
Bodo Liberation Tigers (BLT),Facility/Infrastructure Attack,1
Bodo Militants,Armed Assault,22
Bodo Militants,Assassination,1
Bodo Militants,Bombing/Explosion,16
Bodo Militants,Hostage Taking (Kidnapping),1
Communist Party of India- Marxist-Leninist,Armed Assault,1
Congress Party Activists,Armed Assault,1
Congress Party Activists,Bombing/Explosion,2
Dima Halao Daoga (DHD),Hostage Taking (Kidnapping),4
Dukhta-ran-e-Millat,Bombing/Explosion,1
Guerrillas,Facility/Infrastructure Attack,1
Gunmen,Assassination,1
Harakat ul-Mujahidin (HuM),Armed Assault,1
Harkat ul Ansar,Bombing/Explosion,10
Harkat ul Ansar,Hostage Taking (Kidnapping),1
Hindu Group,Armed Assault,2
Hindu Group,Assassination,1
Hindu Group,Facility/Infrastructure Attack,2
Hindu Group,Unarmed Assault,1
Hizbul Mujahideen (HM),Armed Assault,11
Hizbul Mujahideen (HM),Assassination,4
Hizbul Mujahideen (HM),Bombing/Explosion,2
Hizbul Mujahideen (HM),Hostage Taking (Kidnapping),3
Ikhwan Jammu and Kashmir,Hostage Taking (Kidnapping),1
Ikhwan Jammu and Kashmir,Unarmed Assault,1
Ikhwan-ul-Muslimeen,Hostage Taking (Kidnapping),3
Indian Tigers,Bombing/Explosion,1
Jamiat ul-Mujahedin (JuM),Bombing/Explosion,3
Jammu and Kashmir Islamic Front,Bombing/Explosion,3
Jammu and Kashmir Liberation Front,Armed Assault,7
Jammu and Kashmir Liberation Front,Assassination,21
Jammu and Kashmir Liberation Front,Bombing/Explosion,14
Jammu and Kashmir Liberation Front,Facility/Infrastructure Attack,1
Jammu and Kashmir Liberation Front,Hostage Taking (Kidnapping),6
Jharkhand Tribal Forces,Bombing/Explosion,2
Justice and Liberty Warriors,Hijacking,1
Kashmiri Hizballah,Assassination,1
Kashmiri Hizballah,Bombing/Explosion,1
Kashmiri Hizballah,Hostage Taking (Kidnapping),1
Kashmiri Militants,Armed Assault,34
Kashmiri Militants,Assassination,9
Kashmiri Militants,Bombing/Explosion,25
Kashmiri Militants,Hostage Taking (Kidnapping),4
Khalistan Commando Force,Bombing/Explosion,1
Khalistan Commando Force,Hostage Taking (Kidnapping),1
Khalistan Liberation Force,Armed Assault,1
Khalistan Liberation Force,Assassination,1
Khalistan Liberation Force,Bombing/Explosion,3
Khalistan Liberation Force,Hostage Taking (Kidnapping),1
Khalistan Zindabad (Long Live Khalistan),Bombing/Explosion,2
Khasi Students Union,Armed Assault,1
Khasi Students Union,Unarmed Assault,1
Kuki tribesmen,Armed Assault,2
Kuki tribesmen,Hostage Taking (Kidnapping),1
Laiq Chanio Group of Dacoit Bandits,Bombing/Explosion,1
Lashkar-e-Taiba (LeT),Armed Assault,1
Lashkar-e-Taiba (LeT),Bombing/Explosion,4
Lashkar-e-Taiba (LeT),Hostage Taking (Kidnapping),1
Lashkari-e-Adam (Army of Adam),Hostage Taking (Kidnapping),1
Liberation Tigers of Tamil Eelam (LTTE),Armed Assault,2
Liberation Tigers of Tamil Eelam (LTTE),Assassination,1
Liberation Tigers of Tamil Eelam (LTTE),Bombing/Explosion,1
