source,target,weight
Achwan-I-Mushbani,Srinigar,1
Afghan Merceneries,"Duda, Jammu, Kashmir State",1
Al Faran,Hapatnar Village,1
Al Faran,Ladervat J + K,1
Al Hadid,Dehli,2
Al Jehad,"Bisbehara Town, Jammu and Kashmir State",1
Al Jehad,Pul Dora,1
Al Jehad,"Srinagar, J&K",1
Al Ummah,Coimbatore,12
al-Fatah,Srinigar,1
All India Anna Dravida Munetra Kazgan Party,Tiruchirappali,1
All India Anna Dravida Munetra Kazgan Party,Vazhapadi,1
All Karanataka Youth Council,Bangalore,1
All Tripura Tiger Force (ATTF),Dhalai District,1
All Tripura Tiger Force (ATTF),Ganda Basti,1
All Tripura Tiger Force (ATTF),Gorangatilla,1
All Tripura Tiger Force (ATTF),Jarul Racha,1
All Tripura Tiger Force (ATTF),Panchavati,1
All Tripura Tiger Force (ATTF),Purbarama Chandraghat,1
All Tripura Tiger Force (ATTF),Tripura State,2
Allah's Tigers,Srinigar,1
Al-Umar Mujahideen,Assam State,1
Al-Umar Mujahideen,Srinagar,2
Al-Umar Mujahideen,Srinigar,4
Babbar Khalsa International (BKI),Batala,1
Babbar Khalsa International (BKI),Chandigarh,1
Babbar Khalsa International (BKI),Pathankot,1
Babbar Khalsa International (BKI),Patiala,1
Bahujan Samaj Party,"Mazaffarnagar, Pradesh S. Utlar",2
Bengali Tiger Force (BTF),Krishnanagar,1
Bharat Zinc Workers,"Mandideep, Madhya Piadesh",1
Bharatiya Janata Party,Lucknow,1
Bharatiya Janata Party,Murshidabad District,1
Bhinderanwale Tiger Force of Khalistan (BTHK),Amritsar,2
Bhinderanwale Tiger Force of Khalistan (BTHK),Gatta Badshah,1
Bhinderanwale Tiger Force of Khalistan (BTHK),Gurdaspur,1
Bhinderanwale Tiger Force of Khalistan (BTHK),Lucknow,1
Bhinderanwale Tiger Force of Khalistan (BTHK),New Delhi,1
Bhinderanwale Tiger Force of Khalistan (BTHK),Punjab State,1
Bihar People's  Party (Hindu militants),Muzaffarpur,1
Bodo Liberation Tigers (BLT),Assam,1
