eventid,iyear,imonth,iday,provstate,city,attacktype1,attacktype1_txt,targtype1,targtype1_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,weaptype1,weaptype1_txt
2.00E+11,2000,1,1,Jammu and Kashmir (State),Udhampur,2,Armed Assault,3,Police,Lashkar-e-Taiba (LeT),,,,,,5,Firearms
2.00E+11,2000,1,1,Assam (State),Kakotibari,3,Bombing/Explosion,21,Utilities,United Liberation Front of Assam (ULFA),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,1,3,Jammu and Kashmir (State),Srinagar,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,1,6,National Capital Territory of Delhi (Union Territory),New Delhi,3,Bombing/Explosion,19,Transportation,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,1,7,Andhra Pradesh (State),Unknown,3,Bombing/Explosion,2,Government (General),People's War Group (PWG),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,1,11,Andhra Pradesh (State),Kagajnagar,3,Bombing/Explosion,3,Police,People's War Group (PWG),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,1,12,Jammu and Kashmir (State),Khannabal,2,Armed Assault,4,Military,Lashkar-e-Taiba (LeT),,,,,,5,Firearms
2.00E+11,2000,1,16,Jammu and Kashmir (State),Budgam District,3,Bombing/Explosion,21,Utilities,Lashkar-e-Taiba (LeT),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,1,16,Tripura (State),Jirania,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,National Liberation Front of Tripura (NLFT),,,,,,5,Firearms
2.00E+11,2000,1,19,Assam (State),Unknown,3,Bombing/Explosion,19,Transportation,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,1,24,Jammu and Kashmir (State),Srinagar,2,Armed Assault,4,Military,Other,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,1,26,Jammu and Kashmir (State),Doda,1,Assassination,2,Government (General),Unknown,,,,,,6,Explosives/Bombs/Dynamite
