Dhanbad,23.795653,86.430386,Kidnapping,Violent Political Party
Midnapore,22.430889,87.321491,Kidnapping,Terrorists/Non-State Militia
Gumla,23.04413,84.537945,Bombing,Police
Latehar,23.746322,84.50911,Armed Assault,Police
Gaya,24.795452,84.999431,Bombing,Telecommunication
Gaya,24.795452,84.999431,Infrastructure Attack,Private Citizens & Property
Khammam,17.247253,80.151445,Armed Assault,Terrorists/Non-State Militia
Jehanabad,25.213929,84.989555,Bombing,Transportation
Nabha,30.373674,76.14519,Bombing,Utilities
East singhbhum,22.486676,86.499655,Armed Assault,Private Citizens & Property
Imphal,24.817011,93.936844,Bombing,Police
Imphal,24.817011,93.936844,Armed Assault,Private Citizens & Property
Koraput,18.813487,82.712333,Bombing,Telecommunication
Imphal,24.817011,93.936844,Bombing,Private Citizens & Property
Imphal,24.817011,93.936844,Bombing,Government
Palamau,21.958024,78.886385,Infrastructure Attack,Telecommunication
Bishenpur,25.60787,82.849254,Bombing,Business
Bishenpur,25.60787,82.849254,Bombing,Government
Imphal,24.817011,93.936844,Bombing,Private Citizens & Property
Koraput,18.813487,82.712333,Infrastructure Attack,Government
Sundargarh,22.124003,84.043175,Kidnapping,Violent Political Party
Chirang,26.538662,90.693912,Bombing,Transportation
Koraput,18.813487,82.712333,Bombing,Police
Dhalai district,23.846698,91.909924,Armed Assault,Government
Koraput,18.813487,82.712333,Bombing,Police
Dhemaji,27.481111,94.557285,Bombing,Transportation
Dibrugarh,27.472833,94.911962,Bombing,Private Citizens & Property
Koraput,18.813487,82.712333,Bombing,Military
Dhubri,26.020698,89.974346,Bombing,Transportation
Bankura,23.232415,87.078604,Armed Assault,Police
Bankura,23.232415,87.078604,Kidnapping,Police
Keonjhar,21.51512,85.684578,Kidnapping,Business
Senapati,25.267728,94.021019,Bombing,Private Citizens & Property
Imphal,24.817011,93.936844,Bombing,Police
Midnapore,22.430889,87.321491,Kidnapping,Violent Political Party
Imphal,24.817011,93.936844,Bombing,Police
Golaghat,26.523852,93.962337,Kidnapping,Business
Midnapore,22.430889,87.321491,Armed Assault,Government
Dantewada,18.896863,81.345442,Infrastructure Attack,Business
Azadgunj,25.454393,78.548694,Bombing,Educational Institution
Bankura,23.232415,87.078604,Armed Assault,Violent Political Party
Banka,24.887418,86.919838,Kidnapping,Government
Keonjhar,21.51512,85.684578,Infrastructure Attack,Business
Bokajan,26.022025,93.775167,Bombing,Transportation
Patamda,22.906096,86.386833,Armed Assault,Private Citizens & Property
Dantewada,18.896863,81.345442,Bombing,Police
Yaripora Kulgam,33.533546,74.920877,Armed Assault,Private Citizens & Property
Midnapore,22.430889,87.321491,Armed Assault,Violent Political Party
Sundargarh,22.124003,84.043175,Kidnapping,Private Citizens & Property
Imphal,24.817011,93.936844,Armed Assault,Private Citizens & Property
Bankura,23.232415,87.078604,Armed Assault,Police
Puruliya,23.332078,86.365208,Armed Assault,Police
Sonitpor,26.673885,92.85771,Kidnapping,Private Citizens & Property
Midnapore,22.430889,87.321491,Armed Assault,Violent Political Party
Seraikela Kharsawan,22.856126,86.012157,Bombing,Police
Imphal,24.817011,93.936844,Armed Assault,Military
Imphal,24.817011,93.936844,Bombing,Private Citizens & Property
Midnapore,22.430889,87.321491,Infrastructure Attack,Private Citizens & Property
Sundargarh,22.124003,84.043175,Armed Assault,Private Citizens & Property
Visakhapatnam,17.686816,83.218482,Kidnapping,Government
Kokrajhar,26.401436,90.266699,Armed Assault,Private Citizens & Property
Jamui,24.919515,86.224718,Bombing,Transportation
Bishenpur,25.60787,82.849254,Infrastructure Attack,Transportation
Rourkela,22.260423,84.853584,Bombing,Transportation
Dantewara,18.84563,81.383933,Bombing,Police
Giridih,24.182139,86.286951,Bombing,Transportation
Sundargarh,22.124003,84.043175,Bombing,Transportation
Lalgarh,27.519994,73.910179,Armed Assault,Police
Sheohar,26.514587,85.294231,Infrastructure Attack,Private Citizens & Property
Imphal,24.817011,93.936844,Bombing,Private Citizens & Property
Imphal,24.817011,93.936844,Hijacking,Transportation
Hazaribag,23.996621,85.369107,Armed Assault,Government
Shillong,25.578773,91.893254,Infrastructure Attack,Journalists & Media
Midnapore,22.430889,87.321491,Armed Assault,Private Citizens & Property
Hailakandi,24.681102,92.563805,Kidnapping,Government
Pune,18.52043,73.856744,Bombing,Business
Midnapore,22.430889,87.321491,Bombing,Police
East singhbhum,22.486676,86.499655,Kidnapping,Government
Jamui,24.919515,86.224718,Armed Assault,Private Citizens & Property
Koraput,18.813487,82.712333,Bombing,Telecommunication
Thoubal,24.644924,93.99929,Bombing,Government
Midnapore,22.430889,87.321491,Armed Assault,Police
Jamui,24.919515,86.224718,Infrastructure Attack,Private Citizens & Property
Jamui,24.919515,86.224718,Armed Assault,Private Citizens & Property
Chandel,24.3262,94.0006,Bombing,Private Citizens & Property
Bankura,23.232415,87.078604,Infrastructure Attack,Private Citizens & Property
Jamui,24.919515,86.224718,Bombing,Educational Institution
Puruliya,23.332078,86.365208,Armed Assault,Violent Political Party
Samba,32.553009,75.110753,Bombing,Government
Midnapore,22.430889,87.321491,Armed Assault,Police
Aurangabad,19.876165,75.343314,Infrastructure Attack,Business
Visakhapatnam,17.686816,83.218482,Infrastructure Attack,Telecommunication
Motihari,26.646962,84.908894,Armed Assault,Private Citizens & Property
Aurangabad,19.876165,75.343314,Infrastructure Attack,Business
Imphal,24.817011,93.936844,Armed Assault,Private Citizens & Property
Gumla,23.04413,84.537945,Armed Assault,Business
Puruliya,23.332078,86.365208,Bombing,Business
Banka,24.887418,86.919838,Armed Assault,Private Citizens & Property
Puruliya,23.332078,86.365208,Armed Assault,Violent Political Party
Munger,25.374756,86.473525,Armed Assault,Private Citizens & Property
Bankura,23.232415,87.078604,Kidnapping,Educational Institution
Midnapore,22.430889,87.321491,Armed Assault,Private Citizens & Property
Dantewara,18.84563,81.383933,Kidnapping,Private Citizens & Property
Midnapore,22.430889,87.321491,Armed Assault,Violent Political Party
Simdega,22.615114,84.495999,Armed Assault,Terrorists/Non-State Militia
Koraput,18.813487,82.712333,Armed Assault,Private Citizens & Property
Imphal,24.817011,93.936844,Infrastructure Attack,Government
Jamui,24.919515,86.224718,Bombing,Police
Buxar,25.56471,83.977748,Infrastructure Attack,Business
Gaya,24.795452,84.999431,Infrastructure Attack,Business
Midnapore,22.430889,87.321491,Armed Assault,Violent Political Party
Midnapore,22.430889,87.321491,Infrastructure Attack,Violent Political Party
Khammam,17.247253,80.151445,Armed Assault,Private Citizens & Property
Jamui,24.919515,86.224718,Bombing,Transportation
East singhbhum,22.486676,86.499655,Bombing,Utilities
Simdega,22.615114,84.495999,Kidnapping,Business
Simdega,22.615114,84.495999,Kidnapping,Business
Malkangiri,18.343586,81.882528,Infrastructure Attack,Business
Latehar,23.746322,84.50911,Kidnapping,Government
Malkangiri,18.343586,81.882528,Armed Assault,Private Citizens & Property
Koraput,18.813487,82.712333,Armed Assault,Private Citizens & Property
Thiruvananthapuram,8.524139,76.936638,Bombing,Airports & Aircraft
Medinipur,22.430889,87.321491,Infrastructure Attack,Violent Political Party
Medinipur,22.430889,87.321491,Infrastructure Attack,Violent Political Party
Midnapore,22.430889,87.321491,Bombing,Transportation
Gaya,24.795452,84.999431,Bombing,Transportation
East singhbhum,22.486676,86.499655,Bombing,Transportation
Seraikela Kharsawan,22.856126,86.012157,Armed Assault,Police
Bokaro,23.669296,86.151112,Kidnapping,Private Citizens & Property
Midnapore,22.430889,87.321491,Bombing,Transportation
Gajapati,19.191222,84.185712,Bombing,Telecommunication
Sundargarh,22.124003,84.043175,Bombing,Transportation
Gaya,24.795452,84.999431,Bombing,Government
Sitamarhi,26.595248,85.480839,Armed Assault,Private Citizens & Property
Sheohar,26.514587,85.294231,Infrastructure Attack,Police
Malkangiri,18.343586,81.882528,Infrastructure Attack,Business
Dumka,24.285466,87.24193,Armed Assault,Private Citizens & Property
Latehar,23.746322,84.50911,Bombing,Transportation
Gajapati,19.191222,84.185712,Armed Assault,Police
Saran,25.709973,73.837495,Infrastructure Attack,Police
Midnapore,22.430889,87.321491,Kidnapping,Violent Political Party
Giridih,24.182139,86.286951,Armed Assault,Police
Malkangiri,18.343586,81.882528,Armed Assault,Private Citizens & Property
Midnapore,22.430889,87.321491,Infrastructure Attack,Government
Midnapore,22.430889,87.321491,Bombing,Police
Rohtas,24.628741,83.920166,Bombing,Police
Patna,25.594095,85.137565,Bombing,Educational Institution
Rohtas,24.628741,83.920166,Bombing,Educational Institution
Chatra,24.206508,84.872428,Armed Assault,Private Citizens & Property
East singhbhum,22.486676,86.499655,Armed Assault,Government
Midnapore,22.430889,87.321491,Kidnapping,Violent Political Party
Phulwama,33.981889,75.014382,Bombing,Transportation
