source,target,weight
Adavali,Government (General),1
Adukkamparai,Government (General),1
Agarpara,Private Citizens & Property,1
Agartala,Business,1
Agartala,Journalists & Media,1
Agra,Business,1
Aheri,Private Citizens & Property,1
Ahiapur,Business,1
Aigejang,Military,1
Airkata,Private Citizens & Property,1
Aizawl,Government (General),2
Aizawl,Private Citizens & Property,2
Ajgari,Police,1
Ajmer,Transportation,1
Akash Nagar,Police,1
Akhnoor,Military,1
Alipurduar,Police,1
Alipurduar,Transportation,1
Allahabad,Private Citizens & Property,1
Allahabad,Transportation,1
Alubaka,Business,1
Amaluma,Government (General),1
Amarut,Police,1
Amas,Police,1
Ambabhona,Business,1
Ambasaramunda,Private Citizens & Property,1
Ambatanr,Government (General),1
Ambatikar,Police,1
Amkola,Terrorists/Non-State Militia,1
Amrapara,Police,2
Amuatikar,Police,1
Amuatikar,Private Citizens & Property,1
Anantnag,Educational Institution,1
Anantnag,Military,1
Anantnag,Police,4
Anantnag,Private Citizens & Property,1
Anantnag,Transportation,1
Anantnag district,Police,1
Andro,Government (General),1
Andro,Police,1
Ankadeli,Telecommunication,1
Annasagaram,Government (General),1
Antagarh,Police,1
Arambagh,Violent Political Party,1
Araria,Private Citizens & Property,1
Arauri,Private Citizens & Property,1
Arengdo,Military,1
Arnia,Military,1
Aroli,Government (General),1
Arrah,Terrorists/Non-State Militia,1
Arwani,Police,1
Asagoan,Police,1
Asansol,Government (General),1
Asansol,Transportation,1
Asurabandha,Telecommunication,1
Athiabari,Transportation,1
Aurangabad,Business,5
Aurangabad,Educational Institution,4
Aurangabad,Government (General),1
Aurangabad,Private Citizens & Property,1
Aurangabad,Telecommunication,3
Aurangabad,Transportation,2
Aurangabad district,Business,1
Aurangabad district,Police,3
Aurangabad district,Telecommunication,1
Aurangabad district,Transportation,1
Avaniyapuram,Private Citizens & Property,1
Avarampalayam,Private Citizens & Property,1
Awang Khunnou Salang Sabal,Military,1
Awang Wabagai,Private Citizens & Property,1
Awantipora,Military,1
Awantipora,Police,4
Awapalli,Business,1
Awapalli,Police,1
Awek,Private Citizens & Property,1
Awneera,Police,1
Ayatpur,Educational Institution,1
Azad Gunj,Military,1
Azadgunj,Educational Institution,1
Bacheli,Police,1
Badapada,Government (General),1
Badarpanga,Police,1
Badgund,Business,1
Badildih,Business,1
Badiliguda,Government (General),2
Badlapur,Private Citizens & Property,1
Badtunda,Private Citizens & Property,1
Badural,Private Citizens & Property,1
Bage Bar,Telecommunication,1
Baghmara,Private Citizens & Property,1
Baghmundi,Violent Political Party,1
Bagli,Military,1
Bahraich,Government (General),1
Bailadilla,Business,1
Baipariguda,Private Citizens & Property,1
Bajragada,Military,1
Bakewar,Journalists & Media,1
Baksa,Private Citizens & Property,1
Baksa district,Business,1
Baksa district,Police,1
Bakuliaghat,Private Citizens & Property,1
Bala,Business,1
Balangir,Business,1
Balapara,Private Citizens & Property,1
Baleguda,Private Citizens & Property,1
Baleshbahali,Business,1
Balichanda,Private Citizens & Property,10
Balichanda,Religious Figures/Institutions,1
Balimela,Business,1
Balimela,Private Citizens & Property,1
Balipeta,Private Citizens & Property,1
Balrampur,Police,1
Balthara village,Business,1
Balumath,Business,1
Banasai,Police,1
Bande,Police,1
Bandgaon,Government (General),1
Bandgaon,Police,1
Bandhagaon,Police,1
Bandhugaon,Government (General),1
Bandhugaon,Private Citizens & Property,3
Bandhugaon,Telecommunication,1
Bandipore,Government (General),2
Bandlapalli,Private Citizens & Property,1
Bandua,Private Citizens & Property,1
Bandugan,Private Citizens & Property,1
Bandugaon,Telecommunication,1
Bandwan,Private Citizens & Property,1
Bangalore,Private Citizens & Property,1
Bangalore,Violent Political Party,1
Banka,Government (General),1
Banka,Private Citizens & Property,4
Bankura,Educational Institution,1
Bankura,Government (General),3
Bankura,Police,3
Bankura,Private Citizens & Property,2
Bankura,Violent Political Party,1
Bansamawe,Police,1
Banswara,Government (General),1
Bapanpalli,Private Citizens & Property,1
Barabadha,Business,1
Barachatti,Government (General),1
Baragada,Telecommunication,1
Baramulla,Business,2
Baramulla,Government (General),2
Baramulla,Police,4
Baramulla,Private Citizens & Property,4
Baramulla,Transportation,1
Baramulla district,Government (General),1
Barang,Private Citizens & Property,1
Barari,Government (General),1
Bardhaman district,Government (General),1
Bargarh,Private Citizens & Property,1
Barhaula,Private Citizens & Property,1
Barhi,Private Citizens & Property,1
Baridih,Transportation,1
Barkot,Government (General),2
Barobisha,Transportation,1
Barpeta,Educational Institution,1
Barpeta,Private Citizens & Property,1
Barpeta,Transportation,1
Barwadih,Police,1
Basaguda,Journalists & Media,1
Basaguda,Police,1
Bashirhat,Private Citizens & Property,1
Baska,Private Citizens & Property,1
Bastar,Military,1
Bastar,Police,4
Bastar,Private Citizens & Property,2
Bastar,Transportation,1
Bastar district,Government (General),3
Bastar district,Military,1
Bastar district,Transportation,1
Basuachak,Police,1
Basugaon,Military,1
Batabori,Business,1
Batachipur,Police,1
Bataloka,Private Citizens & Property,1
Batamaloo,Police,1
Batmaloo,Military,1
Bayanar,Government (General),1
Bedre,Terrorists/Non-State Militia,1
Begundihi,Private Citizens & Property,1
Begusarai,Transportation,1
Beheraguda,Transportation,1
Behiang,Military,2
Bejangiwada,Private Citizens & Property,1
Beleswar,Business,1
Belgaon,Private Citizens & Property,1
Beliabera,Private Citizens & Property,1
Belpahari,Private Citizens & Property,2
Bemina,Military,1
Bemina,Police,1
Bengaluru,Business,1
Bengenakhowa,Business,1
Bengtol,Business,1
Berhampur,Government (General),1
Betagaon,Business,1
Betul,Government (General),1
Bhadrachalam,Telecommunication,1
Bhagalpur,Government (General),1
Bhagalpur,Private Citizens & Property,1
Bhagalpur district,Business,1
Bhalukjhora,Military,1
Bhamragarh,Police,1
Bhanga,Private Citizens & Property,1
Bhanjanagar,Government (General),1
Bhanpuri,Police,1
Bharathinagar,Religious Figures/Institutions,1
Bharuamunda,Government (General),1
Bhashikhong,Private Citizens & Property,1
Bhatiapar,Transportation,1
Bhatpar,Police,1
Bhejangiwada,Military,1
Bhendatungri,Police,1
Bhitia,Telecommunication,1
Bhojo,Transportation,1
Bhopal,Journalists & Media,1
Bhowraguri,Private Citizens & Property,1
Bhubanpalli,Private Citizens & Property,1
Bhuliabandh,Police,1
Bhulsumia,Educational Institution,1
Bigha,Police,8
Bijapur,Business,1
Bijapur,Government (General),4
Bijapur,Military,2
Bijapur,Police,15
Bijapur,Private Citizens & Property,12
Bijapur,Telecommunication,1
Bijapur,Terrorists/Non-State Militia,4
Bijapur,Transportation,2
Bijapur district,Government (General),2
Bijapur district,Police,11
Bijapur district,Private Citizens & Property,1
Bijapur district,Terrorists/Non-State Militia,1
Bijbehara,Military,1
Bijbehara,Police,3
Bijbehara,Tourists,1
Bijehara,Military,1
Bijepar,Police,1
Bijni,Police,1
Bijni,Private Citizens & Property,2
Bikrampur,Journalists & Media,1
Biliguda,Private Citizens & Property,1
Birbhum,Government (General),1
Birbhum district,Government (General),1
Bishenpur,Business,2
Bishenpur,Government (General),4
Bishenpur,Private Citizens & Property,2
Bishenpur,Transportation,2
Bishnupur,Business,1
Bishnupur,Government (General),2
Bishnupur,Private Citizens & Property,2
Bishuram Basti,Private Citizens & Property,1
Bochahan,Government (General),1
Bodai,Private Citizens & Property,1
Bodari,Educational Institution,1
Bodh Gaya,Other,1
Bodh Gaya,Religious Figures/Institutions,4
Bodhrajpada,Police,1
Bodocheka,Business,2
Bogul,Violent Political Party,1
Bojhait,Police,1
Bokajan,Transportation,1
Bokaro,Government (General),1
Bokaro,Military,2
Bokaro,Police,2
Bokaro,Private Citizens & Property,4
Bokaro,Transportation,5
Bokaro,Utilities,1
Bokaro district,Police,2
Bokaro district,Transportation,2
Bokkingre,Private Citizens & Property,2
Bokob,Police,1
Bokojan,Business,1
Boldak Ading,Private Citizens & Property,1
Bollonggre Apal,Private Citizens & Property,1
Bomia,Government (General),1
Boncherra,Private Citizens & Property,1
Bongaigaon,Business,2
Bongaigaon,Government (General),1
Bongaigaon,Police,1
Bongaigaon,Private Citizens & Property,2
Bongaigaon,Transportation,1
Bongyang,Police,1
Bordumsa,Private Citizens & Property,2
Bouserkuti,Business,1
Budgam,Military,1
Budgam,Private Citizens & Property,1
Budhaniya,Business,1
Budhauli,Business,1
Bulandshar,Violent Political Party,1
Burgum,Government (General),1
Burkapal,Police,1
Buxar,Business,1
Calicut (kozhikode),Police,1
Calicut (kozhikode),Private Citizens & Property,1
Chadoora,Police,1
Chainpur,Police,2
Chairen,Private Citizens & Property,1
Chak Mangu,Utilities,1
Chandauli,Telecommunication,1
Chandel,Government (General),2
Chandel,Military,1
Chandel,Private Citizens & Property,3
Chandel district,Military,2
Chandel district,Private Citizens & Property,1
Chandigarh,Journalists & Media,1
Chandil,Police,1
Chandra Nagar,Business,2
Chandrapura,Police,1
Changangei,Educational Institution,1
Changangei,Private Citizens & Property,1
Channapora Bridge,Police,1
Chapagedda,Business,3
Chapaguri,Police,1
Charduar,Private Citizens & Property,1
Chargi,Military,1
Chasang,Government (General),1
Chasingre,Business,1
Chasingre,Police,1
Chatargach,Private Citizens & Property,1
Chatra,Business,10
Chatra,Educational Institution,1
Chatra,Government (General),2
Chatra,Police,3
Chatra,Private Citizens & Property,2
Chatra,Transportation,1
Chatra district,Business,1
Chatra district,Government (General),2
Chauliaganj,Business,1
Chawmanu,Private Citizens & Property,1
Chegro,Transportation,1
Chennai,Government (General),2
Chennai,Private Citizens & Property,2
Chennai,Transportation,2
Cherthala,Business,1
Chetag,Police,1
Chhapra,Transportation,1
Chhota Nagra,Private Citizens & Property,1
Chibinang,Private Citizens & Property,1
Chidabaram,Educational Institution,1
Chigitchakgre,Police,1
Chilpara,Police,1
Chindgarh,Police,1
Chindpal,Military,1
Chingai,Private Citizens & Property,1
Chinglangmei,Government (General),1
Chingmeirong,Business,1
Chintagufa,Military,1
Chintagufa,Police,3
Chintanwada,Private Citizens & Property,1
Chintapalle,Business,1
Chintapalle,Private Citizens & Property,1
Chirakhuti,Private Citizens & Property,1
Chirang,Military,1
Chirang,Private Citizens & Property,2
Chirang,Transportation,1
Chirang district,Business,1
Chirang district,Military,2
Chirang district,Police,1
Chirang district,Private Citizens & Property,1
Chiringpara,Government (General),1
Chiripar,Transportation,1
Chirodih,Business,1
Chitrakonda,Private Citizens & Property,1
Chittarpur,Transportation,1
Chokpot,Business,1
Chokpot,Police,5
Chola,Journalists & Media,1
Chota Baghara,Educational Institution,1
Chuku,Private Citizens & Property,1
Chulabhat,Business,1
Chunar,Transportation,1
Churachandpur,Government (General),1
Churachandpur,Military,2
Churachandpur district,Business,1
Churachandpur district,Military,1
Churanchandpur,Private Citizens & Property,1
Chushul,Military,1
Cone village,Police,1
Cuttack,Government (General),2
Dabinggre,Police,1
Dabnahi,Police,2
Dabra,Private Citizens & Property,1
Dadenggre,Government (General),1
Dadengre,Police,1
Dadigutu,Police,1
Dadsara,Military,1
Dainadubi,Government (General),2
Daitari,Military,1
Daji Badimagre,Private Citizens & Property,1
Daldalkuhi,Private Citizens & Property,1
Dalgaon,Business,1
Daliam,Police,1
Dalu,Educational Institution,1
Damanjodi,Police,1
Damanjodi,Violent Political Party,1
Dambuk Aga,Private Citizens & Property,1
Damparengpui,Private Citizens & Property,1
Damra,Military,1
Dangia,Business,1
Dantewada,Business,9
Dantewada,Educational Institution,1
Dantewada,Government (General),5
Dantewada,Military,1
Dantewada,Police,27
Dantewada,Private Citizens & Property,6
Dantewada,Terrorists/Non-State Militia,1
Dantewada,Transportation,4
Dantewada,Utilities,1
Dantewada district,Business,2
Dantewada district,Government (General),3
Dantewada district,Military,1
Dantewada district,Police,1
Dantewada district,Transportation,2
Dantewara,Police,1
Dantewara,Private Citizens & Property,1
Darabhaguda,Government (General),1
Darbha,Police,1
Darbha,Terrorists/Non-State Militia,1
Darbhanga,Government (General),1
Dariapur,Private Citizens & Property,1
Darimgre,Private Citizens & Property,1
