source,target,CountOfattacktype1_txt
Achik National Cooperative Army (ANCA),Bombing/Explosion,1
Achik National Cooperative Army (ANCA),Hostage Taking (Kidnapping),2
Achik National Liberation Army (ANLA),Hostage Taking (Kidnapping),2
Achik National Volunteer Council-B (ANVC-B),Armed Assault,2
Achik National Volunteer Council-B (ANVC-B),Bombing/Explosion,1
Achik National Volunteer Council-B (ANVC-B),Facility/Infrastructure Attack,1
Achik National Volunteer Council-B (ANVC-B),Hostage Taking (Kidnapping),4
A'chik Songna An'pachakgipa Kotok (ASAK),Bombing/Explosion,1
A'chik Songna An'pachakgipa Kotok (ASAK),Hostage Taking (Kidnapping),5
A'chik Tiger Force,Bombing/Explosion,1
Adivasi Cobra Militants of Assam (ACMA),Hostage Taking (Kidnapping),1
Adivasi National Liberation Army (ANLA),Hostage Taking (Kidnapping),2
Adivasi People's Army (APA),Armed Assault,1
Adivasi People's Army (APA),Bombing/Explosion,2
Al Ummah,Armed Assault,1
Al Ummah,Assassination,2
Al Ummah,Bombing/Explosion,1
Al-Nasireen Group,Armed Assault,1
Al-Shuda Brigade,Armed Assault,2
Al-Shuda Brigade,Bombing/Explosion,1
Al-Shuda Brigade,Hijacking,1
Bengali Sangram Mukti Bahini,Bombing/Explosion,1
Bru National Liberation Front (BNLF),Hostage Taking (Kidnapping),1
Communist Party of India - Maoist (CPI-Maoist),Armed Assault,338
Communist Party of India - Maoist (CPI-Maoist),Assassination,24
Communist Party of India - Maoist (CPI-Maoist),Bombing/Explosion,267
Communist Party of India - Maoist (CPI-Maoist),Facility/Infrastructure Attack,176
Communist Party of India - Maoist (CPI-Maoist),Hijacking,1
Communist Party of India - Maoist (CPI-Maoist),Hostage Taking (Barricade Incident),2
Communist Party of India - Maoist (CPI-Maoist),Hostage Taking (Kidnapping),187
Communist Party of India - Maoist (CPI-Maoist),Unarmed Assault,11
Communist Party of India- Marxist,Armed Assault,2
Communist Party of India- Marxist,Assassination,2
Communist Party of India- Marxist,Bombing/Explosion,3
Communist Party of India- Marxist,Facility/Infrastructure Attack,1
Communist Party of India- Marxist-Leninist,Armed Assault,1
Coordination Committee (CORCOM),Bombing/Explosion,20
Dima Halao Daoga (DHD),Bombing/Explosion,1
Dima Hasao National Army,Hostage Taking (Kidnapping),1
Garo National Liberation Army,Armed Assault,55
Garo National Liberation Army,Assassination,3
Garo National Liberation Army,Bombing/Explosion,23
Garo National Liberation Army,Facility/Infrastructure Attack,4
Garo National Liberation Army,Hostage Taking (Kidnapping),30
Garo National Liberation Army,Unarmed Assault,1
Gunmen,Armed Assault,1
Gunmen,Assassination,1
Harkatul Jihad-e-Islami,Bombing/Explosion,1
Hill Tiger Force (HTF),Armed Assault,1
Hill Tiger Force (HTF),Bombing/Explosion,2
Hill Tiger Force (HTF),Facility/Infrastructure Attack,1
Hizbul Mujahideen (HM),Armed Assault,26
Hizbul Mujahideen (HM),Assassination,4
Hizbul Mujahideen (HM),Bombing/Explosion,12
Hizbul Mujahideen (HM),Hostage Taking (Kidnapping),2
Hmar People's Convention-Democracy (HPC-D),Bombing/Explosion,2
Hynniewtrep National Liberation Council (HNLC),Armed Assault,1
Indian Mujahideen,Bombing/Explosion,30
Islamic Front,Armed Assault,2
Islamic Movement of Kashmir,Armed Assault,1
Islamic Movement of Kashmir,Assassination,1
Jaish-e-Mohammad (JeM),Assassination,1
Jamaat-E-Islami (India/Pakistan),Bombing/Explosion,1
Jamiat ul-Mujahedin (JuM),Armed Assault,3
Jamiat ul-Mujahedin (JuM),Assassination,1
Jammu and Kashmir Islamic Front,Bombing/Explosion,1
Jharkhand Bachao Aandolan,Hostage Taking (Kidnapping),1
Jharkhand Janmukti Parishad (JJP),Unarmed Assault,1
Jharkhand Liberation Tigers (JLT),Facility/Infrastructure Attack,1
Jharkhand Liberation Tigers (JLT),Hostage Taking (Kidnapping),1
Jharkhand Prastuti Committee (JPC),Facility/Infrastructure Attack,1
Kamtapur Liberation Organization (KLO),Armed Assault,3
Kamtapur Liberation Organization (KLO),Assassination,1
Kamtapur Liberation Organization (KLO),Bombing/Explosion,5
Kamtapur Liberation Organization (KLO),Hostage Taking (Kidnapping),1
Kangleipak Communist Party (KCP),Armed Assault,1
Kangleipak Communist Party (KCP),Bombing/Explosion,14
Karbi People's Liberation Tigers (KPLT),Armed Assault,14
Karbi People's Liberation Tigers (KPLT),Bombing/Explosion,1
Karbi People's Liberation Tigers (KPLT),Hostage Taking (Kidnapping),4
Khasi Students Union,Armed Assault,1
Khasi Students Union,Assassination,1
Kuki Liberation Army (KLA),Armed Assault,1
Kuki Liberation Army (KLA),Bombing/Explosion,1
Kuki National Front (KNF),Assassination,2
Kuki National Front (KNF),Hostage Taking (Kidnapping),3
Kuki National Liberation Front (KNLF),Armed Assault,1
Kuki National Liberation Front (KNLF),Hostage Taking (Kidnapping),2
Kuki Revolutionary Army (KRA),Armed Assault,1
Kuki Revolutionary Army (KRA),Hostage Taking (Kidnapping),2
Kuki Tribal Militants,Hostage Taking (Kidnapping),2
Kuki tribesmen,Hostage Taking (Kidnapping),1
Lashkar-e-Taiba (LeT),Armed Assault,17
Lashkar-e-Taiba (LeT),Assassination,2
Lashkar-e-Taiba (LeT),Bombing/Explosion,8
Lashkar-e-Taiba (LeT),Hijacking,1
Lashkar-e-Taiba (LeT),Hostage Taking (Kidnapping),3
Liberation Tigers of Tamil Eelam (LTTE),Bombing/Explosion,1
Manipur Naga People's Army (MNPA),Bombing/Explosion,3
Manipur Nationalist Revolutionary Party (MNRP),Bombing/Explosion,1
Maoist Communist Party of Manipur,Bombing/Explosion,1
Maoists,Armed Assault,172
Maoists,Assassination,22
Maoists,Bombing/Explosion,235
Maoists,Facility/Infrastructure Attack,87
Maoists,Hostage Taking (Barricade Incident),7
Maoists,Hostage Taking (Kidnapping),81
Maoists,Unarmed Assault,2
Militants,Armed Assault,1
Militants,Bombing/Explosion,1
Miscreants,Bombing/Explosion,1
Muslim United Liberation Tigers of Assam (MULTA),Bombing/Explosion,1
Naga National Council (NNC),Hostage Taking (Kidnapping),1
National Democratic Front of Bodoland (NDFB),Armed Assault,33
National Democratic Front of Bodoland (NDFB),Bombing/Explosion,35
National Democratic Front of Bodoland (NDFB),Facility/Infrastructure Attack,2
National Democratic Front of Bodoland (NDFB),Hostage Taking (Kidnapping),14
National Democratic Front of Bodoland (NDFB),Unarmed Assault,5
National Liberation Council of Taniland,Armed Assault,1
National Liberation Force of Bengalis (Bangali Janamukti Bahini),Bombing/Explosion,4
National Liberation Front of Tripura (NLFT),Armed Assault,5
National Liberation Front of Tripura (NLFT),Bombing/Explosion,2
National Liberation Front of Tripura (NLFT),Hostage Taking (Kidnapping),18
National Santhali Liberation Army (NSlA),Armed Assault,1
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),Armed Assault,10
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),Assassination,2
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),Bombing/Explosion,7
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),Facility/Infrastructure Attack,6
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),Hostage Taking (Kidnapping),5
National Socialist Council of Nagaland-Khaplang (NSCN-K),Armed Assault,1
National Socialist Council of Nagaland-Khaplang (NSCN-K),Bombing/Explosion,2
National Socialist Council of Nagaland-Khaplang (NSCN-K),Hostage Taking (Kidnapping),2
National Socialist Council of Nagaland-Khole-Kitovi (NSCN-KK),Hostage Taking (Kidnapping),2
Naxalites,Hostage Taking (Kidnapping),1
New People's Army (NPA),Facility/Infrastructure Attack,1
Pahadi Cheetah,Hostage Taking (Kidnapping),1
Pattali Makkal Katchi (PMK),Bombing/Explosion,1
Pattali Makkal Katchi (PMK),Facility/Infrastructure Attack,3
People's Committee against Police Atrocities (PCPA),Armed Assault,5
People's Committee against Police Atrocities (PCPA),Bombing/Explosion,2
People's Committee against Police Atrocities (PCPA),Facility/Infrastructure Attack,3
