Source,Target,Weight
Communist Party of India - Maoist (CPI-Maoist),Midnapore,54
Communist Party of India - Maoist (CPI-Maoist),Malkangiri,35
Communist Party of India - Maoist (CPI-Maoist),Gaya,29
Communist Party of India - Maoist (CPI-Maoist),Dantewada,26
Communist Party of India - Maoist (CPI-Maoist),Bijapur,20
Communist Party of India - Maoist (CPI-Maoist),Aurangabad,19
Communist Party of India - Maoist (CPI-Maoist),Chatra,18
Communist Party of India - Maoist (CPI-Maoist),Palamau,16
Communist Party of India - Maoist (CPI-Maoist),Gadchiroli,15
Communist Party of India - Maoist (CPI-Maoist),Latehar,15
Communist Party of India - Maoist (CPI-Maoist),Lalgarh,13
Communist Party of India - Maoist (CPI-Maoist),Puruliya,12
Communist Party of India - Maoist (CPI-Maoist),Sundargarh,12
Communist Party of India - Maoist (CPI-Maoist),Giridih,11
Communist Party of India - Maoist (CPI-Maoist),Koraput,11
Communist Party of India - Maoist (CPI-Maoist),Kanker,10
Communist Party of India - Maoist (CPI-Maoist),Bastar,9
Communist Party of India - Maoist (CPI-Maoist),Dhanbad,9
Communist Party of India - Maoist (CPI-Maoist),Munger,9
Communist Party of India - Maoist (CPI-Maoist),Ranchi,9
Communist Party of India - Maoist (CPI-Maoist),Jamui,8
Communist Party of India - Maoist (CPI-Maoist),Khunti,7
Communist Party of India - Maoist (CPI-Maoist),Garwah,6
Communist Party of India - Maoist (CPI-Maoist),Kandhamal,6
Communist Party of India - Maoist (CPI-Maoist),Keonjhar,6
Communist Party of India - Maoist (CPI-Maoist),Raj Nandgaon,6
Communist Party of India - Maoist (CPI-Maoist),East singhbhum,5
Communist Party of India - Maoist (CPI-Maoist),Mayurbhanj,5
Communist Party of India - Maoist (CPI-Maoist),Medinipur,5
Communist Party of India - Maoist (CPI-Maoist),Narayanpur,5
Communist Party of India - Maoist (CPI-Maoist),West Singhbhum,5
Communist Party of India - Maoist (CPI-Maoist),Bokaro,4
Communist Party of India - Maoist (CPI-Maoist),Gumla,4
Communist Party of India - Maoist (CPI-Maoist),Hazaribag,4
Communist Party of India - Maoist (CPI-Maoist),Rohtas,4
Communist Party of India - Maoist (CPI-Maoist),Warangal,4
Communist Party of India - Maoist (CPI-Maoist),Balrampur,3
Communist Party of India - Maoist (CPI-Maoist),East Champaran,3
Communist Party of India - Maoist (CPI-Maoist),Khammam,3
Communist Party of India - Maoist (CPI-Maoist),Sheohar,3
Communist Party of India - Maoist (CPI-Maoist),Arwal,2
Communist Party of India - Maoist (CPI-Maoist),Banka,2
Communist Party of India - Maoist (CPI-Maoist),Bankura,2
Communist Party of India - Maoist (CPI-Maoist),Dhamtari,2
Communist Party of India - Maoist (CPI-Maoist),Gajapati,2
Communist Party of India - Maoist (CPI-Maoist),Jehanabad,2
Communist Party of India - Maoist (CPI-Maoist),Karimnagar,2
Communist Party of India - Maoist (CPI-Maoist),Lohardaga,2
Communist Party of India - Maoist (CPI-Maoist),Muzaffarpur,2
Communist Party of India - Maoist (CPI-Maoist),Nawada,2
Communist Party of India - Maoist (CPI-Maoist),Sambalpur,2
Communist Party of India - Maoist (CPI-Maoist),Simdega,2
Communist Party of India - Maoist (CPI-Maoist),Vaishali,2
Communist Party of India - Maoist (CPI-Maoist),Visakhapatnam,2
Communist Party of India - Maoist (CPI-Maoist),Vishakhapatnam,2
Communist Party of India - Maoist (CPI-Maoist),Asansol,1
Communist Party of India - Maoist (CPI-Maoist),Bandwan,1
Communist Party of India - Maoist (CPI-Maoist),Bardhaman,1
Communist Party of India - Maoist (CPI-Maoist),Belpahari,1
Communist Party of India - Maoist (CPI-Maoist),Bhairamgarh,1
Communist Party of India - Maoist (CPI-Maoist),Birbhum,1
Communist Party of India - Maoist (CPI-Maoist),Chabilapur,1
Communist Party of India - Maoist (CPI-Maoist),Chandil,1
Communist Party of India - Maoist (CPI-Maoist),Chandipur,1
Communist Party of India - Maoist (CPI-Maoist),Cherli,1
