Source,Target,Weight
Achik National Volunteer Council (ANVC),Firearms,1
Adivasi National Liberation Army (ANLA),Explosives/Bombs/Dynamite,2
Adivasi National Liberation Army (ANLA),Firearms,2
Akhilesh Singh Gang,Firearms,1
Al Nasirin (India),Explosives/Bombs/Dynamite,1
Al Nasirin (India),Firearms,1
Al-Arifeen,Explosives/Bombs/Dynamite,2
Al-Arifeen,Firearms,2
Al-Badr,Explosives/Bombs/Dynamite,1
Al-Badr,Melee,1
Al-Fajr,Firearms,1
Al-Hamas Mujahideen,Explosives/Bombs/Dynamite,1
All India Anna Dravida Munetra Kazgan Party,Melee,1
All Kamatapur Liberation Force,Unknown,1
All Tripura Tiger Force (ATTF),Firearms,5
Al-Madina,Explosives/Bombs/Dynamite,3
Al-Madina,Firearms,1
Al-Mansoorian,Explosives/Bombs/Dynamite,7
Al-Mansoorian,Firearms,9
Al-Nasireen Group,Explosives/Bombs/Dynamite,1
Al-Nasireen Group,Firearms,1
Al-Shuda Brigade,Explosives/Bombs/Dynamite,1
Al-Umar Mujahideen,Explosives/Bombs/Dynamite,1
Al-Umar Mujahideen,Firearms,2
Babbar Khalsa International (BKI),Explosives/Bombs/Dynamite,1
Bandits,Firearms,2
Bhumi Uchched Pratirodh Committee (BUPC),Explosives/Bombs/Dynamite,1
Black Widows,Explosives/Bombs/Dynamite,1
Black Widows,Firearms,10
Black Widows,Incendiary,1
Bodo Liberation Tigers (BLT),Firearms,3
Bodo People’s Front (BPF),Firearms,1
Citizen's Rights Protection Volunteers,Incendiary,2
Communist Party of India - Maoist (CPI-Maoist),Explosives/Bombs/Dynamite,195
Communist Party of India - Maoist (CPI-Maoist),Firearms,204
Communist Party of India - Maoist (CPI-Maoist),Incendiary,56
Communist Party of India - Maoist (CPI-Maoist),Melee,21
Communist Party of India - Maoist (CPI-Maoist),Sabotage Equipment,4
Communist Party of India - Maoist (CPI-Maoist),Unknown,62
Communist Party of India- Marxist,Firearms,1
Communist Party of India- Marxist-Leninist,Explosives/Bombs/Dynamite,2
Communist Party of India- Marxist-Leninist,Firearms,2
Communist Party of India- Marxist-Leninist,Melee,1
Communist Party of India- Marxist-Leninist,Unknown,1
Deccan Mujahideen,Explosives/Bombs/Dynamite,3
Deccan Mujahideen,Firearms,4
Deccan Mujahideen,Melee,1
Dima Halao Daoga (DHD),Explosives/Bombs/Dynamite,1
Dima Halao Daoga (DHD),Firearms,15
Dima Halao Daoga (DHD),Incendiary,1
Dima Halao Daoga (DHD),Unknown,2
Guerrillas,Firearms,1
Gunmen,Explosives/Bombs/Dynamite,1
Gunmen,Firearms,5
Harakat ul-Mujahidin (HuM),Firearms,1
Harkatul Jihad-e-Islami,Explosives/Bombs/Dynamite,8
Harkatul Jihad-e-Islami,Firearms,1
