Source,Target,Weight
2000,Anantnag,1
2000,Anchidora,1
2000,Arwani,1
2000,Asarfi,1
2000,Assam,2
2000,Atharobolla,1
2000,Badambagh,1
2000,Badami Bagh,1
2000,Badampura,1
2000,Baghber,1
2000,Bahajan,1
2000,Baira,1
2000,Bandipora,1
2000,Bardiha,1
2000,Batmaloo,1
2000,Belbari,1
2000,Bemina,1
2000,Bhatinda,1
2000,Bhojpur,1
2000,Bijbehara,1
2000,Bijbehra,1
2000,Bishram Ganj,1
2000,Bogribari,1
2000,Bongaigaon,2
2000,Borkhola,1
2000,Borlangpha,1
2000,Boroholdi,1
2000,Brahmchak,1
2000,Budgam District,2
2000,Bustar,1
2000,Chadisinghpoora,1
2000,Chak Mohd Yar,1
2000,Chandrathakurpara village,1
2000,Cuddalore,1
2000,Diklam,1
2000,Doda,1
2000,Drahteng-Prang,1
2000,Dumariyan,1
2000,Fazlabad,1
2000,Gaichta-Dudsunbala,1
2000,Gajanur,1
2000,Gargaon,1
2000,Ghatkesar,1
2000,Gulmarg,1
2000,Guntur,1
2000,Hasker,1
2000,Hubli,1
2000,Hyderabad,1
2000,Imphal,4
2000,Indeh,1
2000,Jagra,1
2000,Jalandhar,1
2000,Jalpaiguri,1
2000,Jammu,4
2000,Jampui,1
2000,Jirania,2
2000,Jullundur,1
2000,Kachnara,1
2000,Kagajnagar,1
2000,Kahleel,1
2000,Kailasahar Subdivision,1
2000,Kakogam,1
2000,Kakotibari,1
2000,Khannabal,1
2000,Khoiphuta,1
2000,Kishtwar,1
2000,Kokrajhar District,1
2000,Kot Budhan,1
2000,Kotdhara,1
2000,Kud,1
2000,Kumrighata,1
2000,Kunzar-Tangmarg,1
2000,Kupwara District,1
2000,Ladakh,1
2000,Lalpura,1
2000,Lapri,1
2000,Laxmipur,1
2000,Laxmipur Diara,1
2000,Lengdenpokse,1
2000,Machilipatnam,1
2000,Madhepura,1
2000,Magam,1
2000,Majuli Bargora,1
2000,Mandipore,1
2000,Manipore,1
2000,Manipur,1
2000,Mazhama,1
2000,Mumbai,1
2000,Nagpur,1
2000,Naholia,1
2000,Nalbari,1
2000,Narkopi,1
2000,Nepal Tilla,1
2000,New Delhi,6
2000,Ongole,1
2000,Pahalgam,1
2000,Paharpur,1
2000,Palpora,1
2000,Pattapani,1
2000,Patton,1
2000,Poonch District,1
2000,Qazigund,1
2000,Rajouri,1
2000,Rauzabad,1
2000,Rongkuri,1
2000,Sangrama,1
2000,Sarju,1
2000,Sashisangmapara,1
2000,Serapathar,1
2000,Sher Bagh,1
2000,Shopian,1
2000,Simuluguri,1
2000,Sopore,2
2000,Srinagar,23
2000,Sugnu,1
2000,Suknachara,1
2000,Sukrungbari,1
2000,Sumbal,1
2000,Surankote,1
2000,Tadepalliguden,1
2000,Tarakunda,1
2000,Tarkhan Majra,1
2000,Thalubigha,1
2000,Thanna Mand,1
2000,Thanna Mandi,1
2000,Tinsukia,1
2000,Udhampur,1
2000,Unknown,10
2000,Utrosou,1
2000,Vasco,1
2000,Wadi,1
2000,Wazirbagh locality,1
2001,Achabal,1
2001,Agartala,1
2001,Ahilya Ghat,1
2001,Ajas,1
2001,Amroh,1
2001,Anantnag,3
2001,Angarala,1
2001,Asifabad,1
2001,Awantipora,1
2001,Baghmara,1
2001,Balipora,1
2001,Bampu,1
2001,Bandipora,1
2001,Bandlamudi,1
2001,Banihal,1
2001,Baramula,1
2001,Baramula District,1
2001,Baramulla District,2
2001,Baramullah,1
2001,Basantgarh,2
2001,Beerwah,1
2001,Bela,2
2001,Beltu,1
2001,Bharwari,1
2001,Bijbehara,1
2001,Bipu,1
2001,Bishnupur-Sankuchi village,1
2001,Bongaigaon District,1
2001,Brahmanpalli,1
2001,Budgam,2
2001,Budgam District,2
2001,Bundagam,1
2001,Chadhata,1
2001,Charar-i-Sharif,1
2001,Charura,1
2001,Chirji,1
2001,Chunti Mohalla,1
2001,Churchu,1
2001,Dalina,1
2001,Damhalhanjipora,1
2001,Dangerpora,1
2001,Dardpora,3
2001,Debatangi,1
2001,Dhubri,1
2001,Digdol,1
2001,Dimapur,1
2001,Diphu,2
2001,Doda,2
2001,Doda District,1
2001,Durmunah,1
2001,East Godavari,1
2001,Eturunagaram,1
2001,Frisal Kulgam,2
2001,Frislan-Pahalgam,1
2001,Fukkumari,1
2001,Garoora,1
2001,Gauripur,1
2001,Ghat,1
2001,Ghaziabad,1
2001,Goalpara,1
2001,Habback,1
2001,Hallian,1
2001,Handawar,1
2001,Handwara,1
2001,Hangalpawa,1
2001,Hardumadam,1
2001,Ichum Lairembi,1
2001,Imphal,1
2001,Jagpura,1
2001,Jammu,5
2001,Jampuijala,1
2001,Janbazpora,1
2001,Jobat,1
2001,Kalaroos,1
2001,Kalimela,1
2001,Kaller-Katal,1
2001,Kandi,1
2001,Kanihama,1
2001,Kantakobrapara,1
2001,Kanthol,1
2001,Kashmir,2
2001,Kathua,1
2001,Keshpur,1
2001,Kharout,1
2001,Kishtwar,1
2001,Kokrajhar,1
2001,Koram,1
2001,Kotranaka,1
2001,Krishnaghati,1
2001,Krusan-Lalpora,1
2001,Kuligaon,1
2001,Kulipora,1
2001,Kuntwar,1
2001,Kupwara,1
2001,Kupwara District,1
2001,Lalpora,1
2001,Latina,1
2001,Lolab,1
2001,Luddar,1
2001,Madhopur,1
2001,Magam,1
2001,Mahadev,1
2001,Manda,1
2001,Manjapu,1
2001,Manu,1
2001,Marrdmalli,1
2001,Matan,1
2001,Mattan,1
2001,Matu,1
2001,Mohmangad,1
2001,More Bachia,1
2001,Motu,1
2001,Mumbai,1
2001,Muzaffarnagar,1
2001,Muzaffarpur,1
2001,Nagma,1
2001,Nalifapara,1
2001,Nasrullahpora,1
2001,Neel,1
2001,New Delhi,4
2001,Noorbagh,1
2001,North Cachar District,1
2001,Nowshera,1
2001,Ogaad,1
2001,Pamrod,1
2001,Panzan,1
2001,Parmot,1
2001,Pathan Mohalla,1
2001,Pathie,1
2001,Patna,1
2001,Peda Vadlapadu,1
2001,Pileru,1
2001,Poonch,3
2001,Poteru,1
2001,Prechu,1
2001,Pulwama District,1
2001,Rafiabad,1
2001,Rajouri,1
2001,Ramanthapur,1
2001,Ramgaon,1
2001,Ransoo-Naushehra,1
2001,Ratnal,1
2001,Rishikesh,1
2001,Rosera,1
2001,Sajjar,1
2001,Salohi,1
2001,Saluru,1
2001,Samalangsu,1
2001,Sangaldan,1
2001,Sangrama,1
2001,Shams-ud-din Khan,1
2001,Sheshnag,1
2001,Shopian,1
2001,Shrotidar,1
2001,Sindhukumar,1
2001,Sirgwari-Keshewan,1
2001,Sodal,1
2001,Soibugh,1
2001,Sonapah,1
2001,Songsak,1
2001,Sonmarg,1
2001,Sopore,2
2001,Srinagar,31
2001,Surankode,1
2001,Surankot,1
2001,Surigam,1
2001,Takia Hail Jageer,1
2001,Tangmarg,1
2001,Tarzoo,1
2001,Tral,1
2001,Trimbli,1
2001,Tripura,1
2001,Udhampur,1
2001,Ujjain,1
2001,Unknown,5
2001,Veelu,1
2001,Watalpora,1
2002,Ahmedabad,5
2002,Anantnag,6
2002,Anantnag (District),1
2002,Anantnag District,1
2002,Avantipura,1
2002,Awantipora,1
2002,Ayhtmulla,1
2002,Bachay,1
2002,Badgom,1
2002,Balhama Panzala,1
2002,Balmakote,1
2002,Bandipora,2
2002,Banihal,1
2002,Baramulla District,1
2002,Bathian,1
2002,Batpora,1
2002,Bhumka Maligaon,1
2002,Bijbehara,1
2002,Bishnupur,1
2002,Bun Doda,1
2002,Channapora,1
2002,Chelma,1
2002,Chintagudam,1
2002,Dadgiri,1
2002,Dailongjhar,1
2002,Damhal-Hanjipora,1
2002,Dangu Pir,1
2002,Darhal,1
2002,Darhar,1
2002,Doda,3
2002,Dodasanpai,1
2002,Doldoli,1
2002,Dudansaballa,1
2002,Frislan,1
2002,Gaibas,1
2002,Gandhinagar,1
2002,Gandoh,1
2002,Gathalpadar,1
2002,Gori,1
2002,Gounthal,1
2002,Grat Mode,1
2002,Guwahati,1
2002,Habba Kadal,1
2002,Hiranagar,1
2002,Hyderabad,1
2002,Imphal,2
2002,Indh,1
2002,Iqbal Nagar,1
2002,Jaktial,1
2002,Jamalsan,1
2002,Jammu,6
2002,Jamslam,1
2002,Kachumuqam,1
2002,Kalimpong,1
2002,Kaluchak,1
2002,Kangan,1
2002,Kashmir,1
2002,Khrew,1
2002,Kolkata,1
2002,Konibal,1
2002,Kotalpakur,1
2002,Kulgam,1
2002,Kunzer,1
2002,Kupwara,4
2002,Lasana,2
2002,Lassana,1
2002,Lazbal,1
2002,Mahore Tehsil,1
2002,Maladhara,1
2002,Malwani,1
2002,Manipur,1
2002,Manjakot,1
2002,Mirhama,1
2002,Moirangpural,1
2002,Mukinda,1
2002,Mumbai,2
2002,New Delhi,2
2002,New Heaven,1
2002,Nirala Kalkot,1
2002,Pahalgam,1
2002,Pahloo,1
2002,Palhalan,1
2002,Patan,1
2002,Pathankot,1
2002,Patrada,1
2002,Pondugula,1
2002,Poonch District,1
2002,Pulwama,4
2002,Rajouri,6
2002,Rajuri,1
2002,Raksamgiri,1
2002,Ramsu,2
2002,Reasi,1
2002,Sadwan,1
2002,Sam Samit,1
2002,Satnaur,1
2002,Sheikhpora,1
2002,Shopiyan,1
2002,Singicherra,1
2002,Sophian,1
2002,Srinagar,27
2002,Surankote,1
2002,Telerai,1
2002,Tengtha,1
2002,Tral,1
2002,Tumalacheruvu,1
2002,Udhampur,1
2002,Udhampur District,1
2002,Unknown,13
2002,Wanabal,1
2002,Waripora Tangmarg,1
2002,Wawoora,1
2003,Abhapalli,1
2003,Agartala,1
2003,Ahem Sharief,1
2003,Ahmedabad,1
2003,Ajamnagar,1
2003,Anantnag,5
2003,Ashmuqam,1
2003,Atmakur,1
2003,Awantipora,1
2003,Bamungopha,1
2003,Bandipora,1
2003,Banhihal,1
2003,Banihati,1
2003,Baramulla,5
2003,Baramulla District,1
2003,Barginia,1
2003,Batamaloo,1
2003,Batmalloo,1
2003,Bayyaram,1
2003,Bijbehara,1
2003,Bodhanam,1
2003,Bogoribari,1
2003,Bonkoot,1
2003,Bragam,1
2003,Budgam,1
2003,Budgam District,1
2003,Champahaur,1
2003,Chandawa,1
2003,Chaplingcherra,1
2003,Chatroo,1
2003,Chukkapur,1
2003,Chursoo,1
2003,Dachepalli Mandal,1
2003,Dangiwachi,1
2003,Dhurai Sambrai,1
2003,Digboi,1
2003,Doda,2
2003,Doda District,1
2003,Dodi,1
2003,Duderhama,1
2003,Fimnacherra,1
2003,Frisal,1
2003,Gambirpur,1
2003,Ghanpur,1
2003,Gomanda,1
2003,Goriwan,1
2003,Govindpur,1
2003,Gul,1
2003,Guwahati,2
2003,Hajan Township,1
2003,Hari,1
2003,Imphal,1
2003,Isaipet,1
2003,Ishber,1
2003,Jammu,3
2003,Kaloosa,1
2003,Kamareddy,1
2003,Kanthpora Sogam,1
2003,Karan Nagar,1
2003,Karpi,1
2003,Kathalguri,1
2003,Katra,1
2003,Kheora,1
2003,Khiram,1
2003,Khrew,1
2003,Khudwani,1
2003,Khudwani Puhroo,1
2003,Kokernag,2
2003,Kothur,1
2003,Kulgam,5
2003,Kundlakunta,1
2003,Kupwara,1
2003,Lalchowk,1
2003,Larnu,1
2003,Lasjan,1
2003,Lokchao,1
2003,Madimalla,1
2003,Magam,1
2003,Makum,1
2003,Malikpora,1
2003,Mandai,1
2003,Manja,1
2003,Maphou,1
2003,Mohorcherra,1
2003,Moreh,1
2003,Mumbai,5
2003,Nadda,1
2003,Nadi Marg,1
2003,Nagshereen,1
2003,Naseem Bagh,1
2003,Nasu,1
2003,Nemallipuri,1
2003,New Delhi,1
2003,Nooranad,1
2003,Nowgam,1
2003,Panar,1
2003,Paraiya,1
2003,Peddaktnta,2
2003,Pipra,1
2003,Poonch,4
2003,Puhroo,1
2003,Pulwama,3
2003,Qazigund,2
2003,Rai Sehot,1
2003,Rajauri,4
2003,Rambhadrapur,1
2003,Rangjuli,1
2003,Rathinjaihalampara,1
2003,Sailya,1
2003,Salboni,1
2003,Santarampada,1
2003,Saraipul,1
2003,Shopian,5
2003,Sogam,1
2003,Srigeri Pado,1
2003,Srinagar,18
2003,Sumblar,1
2003,Tanda,1
2003,Tarahati Kalinzar,1
2003,Tehsil Chowk,1
2003,Thanabulhalampara,1
2003,Thanamandi,2
2003,Thingkhangpi,1
2003,Tirupati,1
2003,Todi-Poonch,1
2003,Tral,1
2003,Trivandrum,1
2003,Tuinem,1
2003,Udhampur,2
2003,Unknown,11
2003,Wagad,1
2003,Wangjing,1
2004,Aishmuqam,1
2004,Anantnag,5
2004,Ashmuqam,1
2004,Azadgunj Chowk,1
2004,Banipora,1
2004,Baramulla,2
2004,Beerwah,1
2004,Beltapara,1
2004,Bhubaneswar,1
2004,Bijbehara,1
