Source,Target,Weight
2000,Akhilesh Singh Gang,1
2000,All Tripura Tiger Force (ATTF),2
2000,Bandits,1
2000,Communist Party of India- Marxist-Leninist,1
2000,Guerrillas,1
2000,Gunmen,3
2000,Hizbul Mujahideen (HM),11
2000,Individual,1
2000,Insurgents,2
2000,Jaish-e-Mohammad (JeM),4
2000,Jamiat ul-Mujahedin (JuM),1
2000,Kamtapur Liberation Organization (KLO),1
2000,Karbi National Volunteers (KNV),3
2000,Kashmiri Militants,1
2000,Lashkar-e-Taiba (LeT),9
2000,Maoist Communist Center (MCC),1
2000,Militants,4
2000,Miscreants,1
2000,Muslim Militants,2
2000,National Democratic Front of Bodoland (NDFB),8
2000,National Liberation Front of Tripura (NLFT),15
2000,National People�s Party (Rashtriya Janata Dal - RJD),1
2000,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),1
2000,Naxalites,2
2000,Other,9
2000,People's Liberation Army (India),1
2000,People's War Group (PWG),8
2000,Ranbir Sena,1
2000,Separatists,1
2000,Tamil Nadu Liberation Army,1
2000,United Bengali Liberation Front (UBLF),2
2000,United Liberation Front of Assam (ULFA),9
2000,Unknown,69
2000,Vishwa Hindu Parishad (VHP),1
2001,Achik National Volunteer Council (ANVC),1
2001,Al-Hamas Mujahideen,1
2001,Al-Umar Mujahideen,2
2001,Communist Party of India- Marxist,1
2001,Dima Halao Daoga (DHD),1
2001,Gunmen,1
2001,Hizbul Mujahideen (HM),11
2001,Jaish-e-Mohammad (JeM),4
2001,Kanglei Yawol Kanna Lup (KYKL),1
2001,Lashkar-e-Jhangvi,2
2001,Lashkar-e-Taiba (LeT),21
2001,Maoist Communist Center (MCC),2
2001,Militants,13
2001,Muslim Militants,1
2001,Muslim Separatists,3
2001,Muslims,1
2001,National Democratic Front of Bodoland (NDFB),6
2001,National Liberation Front of Tripura (NLFT),6
2001,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),1
2001,Naxalites,2
2001,Other,2
2001,People's War Group (PWG),17
2001,Students Islamic Movement of India (SIMI),2
2001,United Liberation Front of Assam (ULFA),2
2001,United People's Democratic Solidarity (UPDS),3
2001,Unknown,125
2001,Vishwa Hindu Parishad (VHP),2
2002,Al Nasirin (India),1
2002,Al-Arifeen,2
2002,Al-Badr,1
2002,Al-Madina,3
2002,Al-Mansoorian,1
2002,Al-Umar Mujahideen,1
2002,Bandits,1
2002,Gunmen,2
2002,Harkatul Jihad-e-Islami,1
2002,Hizbul Mujahideen (HM),4
2002,Individual,1
2002,Islamic Front,1
2002,Jaish-e-Mohammad (JeM),1
2002,Jamiat ul-Mujahedin (JuM),3
2002,Kuki Revolutionary Army (KRA),1
2002,Lashkar-e-Taiba (LeT),13
2002,Maoist Communist Center (MCC),3
2002,Militants,9
2002,Miscreants,1
2002,Muslim Militants,9
2002,Muslim Rebels,2
2002,Muslim Separatists,1
2002,National Democratic Front of Bodoland (NDFB),5
2002,National Liberation Front of Tripura (NLFT),2
2002,Naxalites,1
2002,Other,13
2002,People's War Group (PWG),7
2002,Porattom,1
2002,Rebels,1
2002,Save Kashmir Movement,1
2002,United Kuki Liberation Front (UKLF) - India,1
2002,United Liberation Front of Assam (ULFA),2
2002,Unknown,87
2003,All Tripura Tiger Force (ATTF),2
2003,Al-Mansoorian,2
2003,Al-Shuda Brigade,1
2003,Bodo Liberation Tigers (BLT),1
2003,Hizbul Mujahideen (HM),8
2003,Islamic Fateh,1
2003,Jaish-e-Mohammad (JeM),2
2003,Jamiat ul-Mujahedin (JuM),1
2003,Kanglei Yawol Kanna Lup (KYKL),1
2003,Kashmir Freedom Force,1
2003,Kuki Liberation Army (KLA),1
2003,Kuki National Front (KNF),1
2003,Kuki Revolutionary Army (KRA),1
2003,Lashkar-e-Taiba (LeT),4
2003,Maoist Communist Center (MCC),8
2003,Muslim Rebels,1
2003,National Liberation Front of Tripura (NLFT),8
2003,Naxalites,1
2003,Other,25
2003,People's Revolutionary Party of Kangleipak (PREPAK),1
2003,People's War Group (PWG),22
2003,Praveen Dalam,1
2003,Rashtriya Swayamsevak Sangh,1
2003,Students Islamic Movement of India (SIMI),4
2003,Tehrik al-Mojahedin,1
2003,United Liberation Front of Assam (ULFA),8
2003,United National Liberation Front (UNLF),1
2003,United People's Democratic Solidarity (UPDS),2
2003,Unknown,85
2004,Al-Arifeen,1
2004,Al-Mansoorian,3
2004,Harakat ul-Mujahidin (HuM),1
2004,Hizbul Mujahideen (HM),4
2004,Kamtapur Liberation Organization (KLO),1
2004,Lashkar-e-Taiba (LeT),6
2004,Maoist Communist Center (MCC),6
2004,National Democratic Front of Bodoland (NDFB),3
2004,National Liberation Front of Tripura (NLFT),1
2004,Other,10
2004,People's War Group (PWG),3
2004,Rashtriya Swayamsevak Sangh,1
2004,Save Kashmir Movement,2
2004,United Liberation Front of Assam (ULFA),14
2004,Unknown,52
2005,Al-Arifeen,1
2005,Al-Mansoorian,7
2005,Al-Nasireen Group,2
2005,Communist Party of India - Maoist (CPI-Maoist),5
2005,Harkatul Jihad-e-Islami,1
2005,Hizbul Mujahideen (HM),5
2005,Islamic Front,2
2005,Jaish-e-Mohammad (JeM),1
2005,Karbi Tribe,1
2005,Lashkar-e-Taiba (LeT),8
2005,Mahaz-e-Inquilab,3
2005,Maoists,3
2005,National Liberation Front of Tripura (NLFT),1
2005,Naxalites,3
2005,Other,2
2005,People's Liberation Army (India),1
2005,United Jihad Council,1
2005,United Liberation Front of Assam (ULFA),24
2005,Unknown,74
2006,Al-Mansoorian,2
2006,Communist Party of India - Maoist (CPI-Maoist),18
2006,Hizbul Mujahideen (HM),5
2006,Jaish-e-Mohammad (JeM),6
2006,Kanglei Yawol Kanna Lup (KYKL),1
2006,Kangleipak Communist Party (KCP),1
2006,Karbi Longri North Cachar Liberation Front (KLNLF),2
2006,Lashkar-e-Taiba (LeT),11
2006,Maoists,2
2006,National Democratic Front of Bodoland (NDFB),1
2006,National Liberation Front of Tripura (NLFT),1
2006,Naxalites,10
2006,Other,3
2006,United Liberation Front of Assam (ULFA),27
2006,United People's Democratic Solidarity (UPDS),2
2006,Unknown,74
2007,Adivasi National Liberation Army (ANLA),2
2007,Al-Fajr,1
2007,Al-Mansoorian,1
2007,Babbar Khalsa International (BKI),1
2007,Bhumi Uchched Pratirodh Committee (BUPC),1
2007,Black Widows,1
