source,target,weight
Unkown,Armed Assault,15
Unkown,Assassination,1
Unkown,Bombing/Explosion,9
Unkown,Facility/Infrastructure Attack,3
Unkown,Hijacking,1
Unkown,Hostage Taking (Kidnapping),3
Unkown,Unknown,3
Abhapalli,Armed Assault,1
Abhayapuri,Bombing/Explosion,1
Achabal,Bombing/Explosion,1
Agartala,Armed Assault,2
Agartala,Assassination,1
Agartala,Bombing/Explosion,5
Agartala,Hostage Taking (Kidnapping),1
Ahem Sharief,Assassination,1
Ahilya Ghat,Bombing/Explosion,1
Ahmedabad,Armed Assault,1
Ahmedabad,Bombing/Explosion,7
Aishmuqam,Hostage Taking (Kidnapping),1
Ajamnagar,Bombing/Explosion,1
Ajas,Armed Assault,1
Ajmer,Bombing/Explosion,1
Alipur Duar,Armed Assault,1
Allahabad,Armed Assault,1
Ampara,Bombing/Explosion,1
Amritsar,Bombing/Explosion,2
Amroh,Hostage Taking (Kidnapping),1
Anand,Bombing/Explosion,1
Anantnag,Armed Assault,3
Anantnag,Assassination,2
Anantnag,Bombing/Explosion,20
Anantnag (District),Armed Assault,3
Anantnag District,Assassination,1
Anantnang (District),Armed Assault,1
Anchidora,Bombing/Explosion,1
Angarala,Bombing/Explosion,1
Angul District,Armed Assault,1
Arigam,Armed Assault,1
Arwal,Armed Assault,1
Arwal,Bombing/Explosion,1
Arwani,Bombing/Explosion,1
Asansol,Armed Assault,1
Asansol,Bombing/Explosion,1
Asarfi,Armed Assault,1
Ashmuqam,Armed Assault,1
Ashmuqam,Bombing/Explosion,1
Ashoknagar,Armed Assault,1
Ashpeer,Bombing/Explosion,1
Asifabad,Bombing/Explosion,1
Assam,Bombing/Explosion,2
Atharobolla,Hostage Taking (Kidnapping),1
Athgaon,Bombing/Explosion,1
Atmakur,Bombing/Explosion,1
Aurangabad,Armed Assault,3
Aurangabad,Assassination,1
Aurangabad,Bombing/Explosion,13
Aurangabad,Facility/Infrastructure Attack,2
Avantipore,Bombing/Explosion,1
Avantipura,Bombing/Explosion,2
Awantipora,Armed Assault,2
Awantipora,Bombing/Explosion,3
Ayhtmulla,Hostage Taking (Kidnapping),1
Ayodhya,Facility/Infrastructure Attack,1
Azadgunj Chowk,Bombing/Explosion,1
Bachay,Armed Assault,1
Badambagh,Bombing/Explosion,1
Badami Bagh,Bombing/Explosion,1
Badampura,Armed Assault,1
Badaniapara,Armed Assault,1
Badarpur,Facility/Infrastructure Attack,1
Badgom,Bombing/Explosion,1
Badrama Village,Armed Assault,1
Baghber,Armed Assault,1
Baghmara,Bombing/Explosion,1
Bahajan,Bombing/Explosion,1
Baira,Bombing/Explosion,1
Baksa,Armed Assault,7
Balhama Panzala,Armed Assault,1
Balipora,Armed Assault,1
Balmakote,Armed Assault,1
Balrampur,Armed Assault,1
Balrampur,Facility/Infrastructure Attack,1
Balrampur,Unknown,1
Baltal,Bombing/Explosion,1
Bampu,Armed Assault,1
Bamungopha,Bombing/Explosion,1
Bandipora,Armed Assault,3
Bandipora,Assassination,1
Bandipora,Bombing/Explosion,2
Bandipora town,Bombing/Explosion,1
Bandipore,Bombing/Explosion,1
Bandlamudi,Bombing/Explosion,1
Bandwan,Bombing/Explosion,1
Bangalore,Armed Assault,1
Bangalore,Bombing/Explosion,9
Banhihal,Armed Assault,1
Banihal,Armed Assault,1
Banihal,Bombing/Explosion,1
Banihati,Armed Assault,1
Banipora,Bombing/Explosion,1
Banka,Armed Assault,1
Banka,Bombing/Explosion,1
Bankura,Armed Assault,1
Bankura,Assassination,1
Bankura,Unknown,1
Baqubah,Armed Assault,1
Baqubah,Assassination,1
Baqubah,Bombing/Explosion,2
Barama,Armed Assault,1
Baramula,Assassination,2
Baramula,Bombing/Explosion,5
Baramula,Hostage Taking (Kidnapping),1
Baramula District,Armed Assault,1
Baramulla,Armed Assault,1
Baramulla,Assassination,2
Baramulla,Bombing/Explosion,8
Baramulla District,Armed Assault,3
Baramulla District,Assassination,1
Baramullah,Armed Assault,1
Barasat,Unknown,1
Bardhaman,Bombing/Explosion,1
Bardiha,Bombing/Explosion,1
Barginia,Facility/Infrastructure Attack,1
Barpeta,Armed Assault,2
Barpeta,Bombing/Explosion,3
Basantgarh,Armed Assault,2
Baska,Armed Assault,1
Bastar,Armed Assault,6
Bastar,Assassination,1
Bastar,Bombing/Explosion,1
Bastar,Hostage Taking (Kidnapping),1
Bastar,Unknown,1
Batamaloo,Armed Assault,1
Batamaloo,Bombing/Explosion,1
Bathian,Armed Assault,1
Batmalloo,Bombing/Explosion,1
Batmaloo,Armed Assault,1
Batpora,Bombing/Explosion,2
Bayyaram,Assassination,1
Beerwah,Armed Assault,1
Beerwah,Bombing/Explosion,1
Bela,Armed Assault,1
Bela,Bombing/Explosion,1
Belacoba,Bombing/Explosion,1
Belbari,Armed Assault,1
Belbari,Hostage Taking (Kidnapping),1
Belpahari,Armed Assault,2
Beltapara,Armed Assault,1
Beltu,Armed Assault,1
Bemina,Armed Assault,1
Bermo,Armed Assault,1
Bhairamgarh,Bombing/Explosion,1
Bhairavkunda,Hostage Taking (Kidnapping),1
Bharwari,Facility/Infrastructure Attack,1
Bhatinda,Bombing/Explosion,1
Bhojpur,Armed Assault,1
Bhojpur,Bombing/Explosion,1
Bhubaneswar,Bombing/Explosion,1
Bhumka Maligaon,Armed Assault,1
Biajarpur,Armed Assault,1
