eventid,iyear,imonth,iday,country_txt,city,attacktype1_txt,targtype1_txt,gname,weaptype1_txt
201001070003,2010,1,7,India,Dhanbad,Hostage Taking (Kidnapping),Violent Political Party,Communist Party of India - Maoist (CPI-Maoist),Firearms
201001070004,2010,1,7,India,Midnapore,Hostage Taking (Kidnapping),Terrorists/Non-State Militia,Communist Party of India - Maoist (CPI-Maoist),Firearms
201001150002,2010,1,15,India,Gumla,Bombing/Explosion,Police,Communist Party of India - Maoist (CPI-Maoist),Explosives/Bombs/Dynamite
201001150005,2010,1,15,India,Latehar,Armed Assault,Police,Communist Party of India - Maoist (CPI-Maoist),Firearms
201001170002,2010,1,17,India,Gaya,Bombing/Explosion,Telecommunication,Communist Party of India - Maoist (CPI-Maoist),Explosives/Bombs/Dynamite
201001170003,2010,1,17,India,Gaya,Facility/Infrastructure Attack,Private Citizens & Property,Communist Party of India - Maoist (CPI-Maoist),Incendiary
201001170014,2010,1,17,India,Khammam,Armed Assault,Terrorists/Non-State Militia,Unknown,Melee
201001180024,2010,1,18,India,Jehanabad,Bombing/Explosion,Transportation,Communist Party of India - Maoist (CPI-Maoist),Explosives/Bombs/Dynamite
201001180027,2010,1,18,India,Nabha,Bombing/Explosion,Utilities,Unknown,Explosives/Bombs/Dynamite
201001190001,2010,1,19,India,East singhbhum,Armed Assault,Private Citizens & Property,Communist Party of India - Maoist (CPI-Maoist),Firearms
201001190016,2010,1,19,India,Imphal,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
201001200003,2010,1,20,India,Imphal,Armed Assault,Private Citizens & Property,Unknown,Firearms
201001200012,2010,1,20,India,Koraput,Bombing/Explosion,Telecommunication,Communist Party of India - Maoist (CPI-Maoist),Explosives/Bombs/Dynamite
201001210004,2010,1,21,India,Imphal,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
201001210005,2010,1,21,India,Imphal,Bombing/Explosion,Government (General),United Kuki Liberation Front (UKLF) - India,Explosives/Bombs/Dynamite
201001210008,2010,1,21,India,Palamau,Facility/Infrastructure Attack,Telecommunication,Communist Party of India - Maoist (CPI-Maoist),Incendiary
201001210009,2010,1,21,India,Bishenpur,Bombing/Explosion,Business,Unknown,Explosives/Bombs/Dynamite
201001210011,2010,1,21,India,Bishenpur,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite
201001210012,2010,1,21,India,Imphal,Bombing/Explosion,Private Citizens & Property,Kuki Liberation Army (KLA),Explosives/Bombs/Dynamite
201001220012,2010,1,22,India,Koraput,Facility/Infrastructure Attack,Government (General),Communist Party of India - Maoist (CPI-Maoist),Incendiary
201001230004,2010,1,23,India,Sundargarh,Hostage Taking (Kidnapping),Violent Political Party,Communist Party of India - Maoist (CPI-Maoist),Unknown
201001230006,2010,1,23,India,Chirang,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
201001230011,2010,1,23,India,Koraput,Bombing/Explosion,Police,Communist Party of India - Maoist (CPI-Maoist),Explosives/Bombs/Dynamite
201001240001,2010,1,24,India,Dhalai district,Armed Assault,Government (General),National Liberation Front of Tripura (NLFT),Firearms
201001240005,2010,1,24,India,Koraput,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
201001240012,2010,1,24,India,Dhemaji,Bombing/Explosion,Transportation,National Democratic Front of Bodoland (NDFB),Explosives/Bombs/Dynamite
201001240013,2010,1,24,India,Dibrugarh,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
201001240014,2010,1,24,India,Koraput,Bombing/Explosion,Military,Communist Party of India - Maoist (CPI-Maoist),Explosives/Bombs/Dynamite
201001250001,2010,1,25,India,Dhubri,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
201001250002,2010,1,25,India,Bankura,Armed Assault,Police,Communist Party of India - Maoist (CPI-Maoist),Firearms
201001250003,2010,1,25,India,Bankura,Hostage Taking (Kidnapping),Police,Communist Party of India - Maoist (CPI-Maoist),Unknown
201001250007,2010,1,25,India,Keonjhar,Hostage Taking (Kidnapping),Business,Communist Party of India - Maoist (CPI-Maoist),Firearms
201001250012,2010,1,25,India,Senapati,Bombing/Explosion,Private Citizens & Property,Kangleipak Communist Party (KCP),Explosives/Bombs/Dynamite
201001250018,2010,1,25,India,Imphal,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
201001250019,2010,1,25,India,Midnapore,Hostage Taking (Kidnapping),Violent Political Party,Communist Party of India - Maoist (CPI-Maoist),Firearms
201001250020,2010,1,25,India,Imphal,Bombing/Explosion,Police,Kangleipak Communist Party (KCP),Explosives/Bombs/Dynamite
201001250022,2010,1,25,India,Golaghat,Hostage Taking (Kidnapping),Business,National Socialist Council of Nagaland-Khaplang (NSCN-K),Unknown
201001260002,2010,1,26,India,Midnapore,Armed Assault,Government (General),Communist Party of India - Maoist (CPI-Maoist),Firearms
201001260008,2010,1,26,India,Dantewada,Facility/Infrastructure Attack,Business,Communist Party of India - Maoist (CPI-Maoist),Incendiary
201001270007,2010,1,27,India,Azadgunj,Bombing/Explosion,Educational Institution,Unknown,Explosives/Bombs/Dynamite
201001270011,2010,1,27,India,Bankura,Armed Assault,Violent Political Party,Communist Party of India - Maoist (CPI-Maoist),Firearms
201001270012,2010,1,27,India,Banka,Hostage Taking (Kidnapping),Government (General),Terai Janatantrik Party,Firearms
201001270013,2010,1,27,India,Keonjhar,Facility/Infrastructure Attack,Business,Communist Party of India - Maoist (CPI-Maoist),Incendiary
201001280004,2010,1,28,India,Bokajan,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
201001280005,2010,1,28,India,Patamda,Armed Assault,Private Citizens & Property,Communist Party of India - Maoist (CPI-Maoist),Firearms
201001290006,2010,1,29,India,Dantewada,Bombing/Explosion,Police,Communist Party of India - Maoist (CPI-Maoist),Explosives/Bombs/Dynamite
201001290007,2010,1,29,India,Yaripora Kulgam,Armed Assault,Private Citizens & Property,Unknown,Firearms
201001290008,2010,1,29,India,Midnapore,Armed Assault,Violent Political Party,Communist Party of India - Maoist (CPI-Maoist),Firearms
201001290009,2010,1,29,India,,Facility/Infrastructure Attack,Transportation,Communist Party of India - Maoist (CPI-Maoist),Incendiary
