source,target,weight
Achik National Volunteer Council (ANVC),Armed Assault,1
Adivasi National Liberation Army (ANLA),Armed Assault,1
Adivasi National Liberation Army (ANLA),Bombing/Explosion,2
Adivasi National Liberation Army (ANLA),Hostage Taking (Kidnapping),1
Akhilesh Singh Gang,Armed Assault,1
Al Nasirin (India),Armed Assault,1
Al Nasirin (India),Bombing/Explosion,1
Al-Arifeen,Armed Assault,1
Al-Arifeen,Assassination,1
Al-Arifeen,Bombing/Explosion,2
Al-Badr,Bombing/Explosion,1
Al-Badr,Hostage Taking (Kidnapping),1
Al-Fajr,Assassination,1
Al-Hamas Mujahideen,Bombing/Explosion,1
All India Anna Dravida Munetra Kazgan Party,Armed Assault,1
All Kamatapur Liberation Force,Hostage Taking (Kidnapping),1
All Tripura Tiger Force (ATTF),Armed Assault,5
Al-Madina,Armed Assault,1
Al-Madina,Assassination,1
Al-Madina,Bombing/Explosion,2
Al-Mansoorian,Armed Assault,10
Al-Mansoorian,Assassination,1
Al-Mansoorian,Bombing/Explosion,3
Al-Mansoorian,Facility/Infrastructure Attack,2
Al-Nasireen Group,Bombing/Explosion,1
Al-Nasireen Group,Facility/Infrastructure Attack,1
Al-Shuda Brigade,Bombing/Explosion,1
Al-Umar Mujahideen,Armed Assault,1
Al-Umar Mujahideen,Assassination,1
Al-Umar Mujahideen,Bombing/Explosion,1
Babbar Khalsa International (BKI),Bombing/Explosion,1
Bandits,Hostage Taking (Kidnapping),2
Bhumi Uchched Pratirodh Committee (BUPC),Bombing/Explosion,1
Black Widows,Armed Assault,10
Black Widows,Bombing/Explosion,1
Black Widows,Facility/Infrastructure Attack,1
Bodo Liberation Tigers (BLT),Armed Assault,3
Bodo People’s Front (BPF),Armed Assault,1
Citizen's Rights Protection Volunteers,Facility/Infrastructure Attack,2
Communist Party of India - Maoist (CPI-Maoist),Armed Assault,200
Communist Party of India - Maoist (CPI-Maoist),Assassination,13
Communist Party of India - Maoist (CPI-Maoist),Bombing/Explosion,193
Communist Party of India - Maoist (CPI-Maoist),Facility/Infrastructure Attack,60
Communist Party of India - Maoist (CPI-Maoist),Hijacking,4
Communist Party of India - Maoist (CPI-Maoist),Hostage Taking (Barricade Incident),1
Communist Party of India - Maoist (CPI-Maoist),Hostage Taking (Kidnapping),42
Communist Party of India- Marxist,Armed Assault,1
Communist Party of India- Marxist-Leninist,Armed Assault,3
Communist Party of India- Marxist-Leninist,Bombing/Explosion,2
Communist Party of India- Marxist-Leninist,Hostage Taking (Kidnapping),1
Deccan Mujahideen,Armed Assault,3
Deccan Mujahideen,Bombing/Explosion,3
Deccan Mujahideen,Hijacking,1
Deccan Mujahideen,Hostage Taking (Kidnapping),1
Dima Halao Daoga (DHD),Armed Assault,14
Dima Halao Daoga (DHD),Bombing/Explosion,1
