Source,Target,Weight
Communist Party of India - Maoist (CPI-Maoist),Midnapore,54
Communist Party of India - Maoist (CPI-Maoist),Malkangiri,35
Communist Party of India - Maoist (CPI-Maoist),Gaya,29
United Liberation Front of Assam (ULFA),Guwahati,29
Communist Party of India - Maoist (CPI-Maoist),Dantewada,26
Communist Party of India - Maoist (CPI-Maoist),Bijapur,20
Communist Party of India - Maoist (CPI-Maoist),Aurangabad,19
Communist Party of India - Maoist (CPI-Maoist),Chatra,18
Communist Party of India - Maoist (CPI-Maoist),Palamau,16
Communist Party of India - Maoist (CPI-Maoist),Gadchiroli,15
Communist Party of India - Maoist (CPI-Maoist),Latehar,15
Lashkar-e-Taiba (LeT),Srinagar,15
Hizbul Mujahideen (HM),Srinagar,14
Communist Party of India - Maoist (CPI-Maoist),Lalgarh,13
Kangleipak Communist Party (KCP),Imphal,13
Communist Party of India - Maoist (CPI-Maoist),Puruliya,12
Communist Party of India - Maoist (CPI-Maoist),Sundargarh,12
Communist Party of India - Maoist (CPI-Maoist),Giridih,11
Communist Party of India - Maoist (CPI-Maoist),Koraput,11
Dima Halao Daoga (DHD),North Cachar Hills,11
Karbi Longri North Cachar Liberation Front (KLNLF),Karbi Anglong,11
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),Dimapur,11
Al-Mansoorian,Srinagar,10
Communist Party of India - Maoist (CPI-Maoist),Kanker,10
United Liberation Front of Assam (ULFA),Tinsukia,10
Communist Party of India - Maoist (CPI-Maoist),Bastar,9
Communist Party of India - Maoist (CPI-Maoist),Dhanbad,9
Communist Party of India - Maoist (CPI-Maoist),Munger,9
Communist Party of India - Maoist (CPI-Maoist),Ranchi,9
Jaish-e-Mohammad (JeM),Srinagar,9
People's Committee against Police Atrocities (PCPA),Midnapore,9
Black Widows,North Cachar Hills,8
Communist Party of India - Maoist (CPI-Maoist),Jamui,8
United Liberation Front of Assam (ULFA),Bongaigaon,8
Communist Party of India - Maoist (CPI-Maoist),Khunti,7
Deccan Mujahideen,Mumbai,7
Indian Mujahideen,New Delhi,7
Lashkar-e-Taiba (LeT),Doda,7
Lashkar-e-Taiba (LeT),New Delhi,7
Communist Party of India - Maoist (CPI-Maoist),Garwah,6
Communist Party of India - Maoist (CPI-Maoist),Kandhamal,6
Communist Party of India - Maoist (CPI-Maoist),Keonjhar,6
Communist Party of India - Maoist (CPI-Maoist),Raj Nandgaon,6
Lashkar-e-Taiba (LeT),Jammu,6
Jaish-e-Mohammad (JeM),Srinagar,6
Communist Party of India - Maoist (CPI-Maoist),East singhbhum,5
Communist Party of India - Maoist (CPI-Maoist),Mayurbhanj,5
Communist Party of India - Maoist (CPI-Maoist),Medinipur,5
Communist Party of India - Maoist (CPI-Maoist),Narayanpur,5
Communist Party of India - Maoist (CPI-Maoist),West Singhbhum,5
Harkatul Jihad-e-Islami,Agartala,5
Kanglei Yawol Kanna Lup (KYKL),Imphal,5
Lashkar-e-Taiba (LeT),New Delhi,5
National Democratic Front of Bodoland (NDFB),Kokrajhar,5
People's Revolutionary Party of Kangleipak (PREPAK),Imphal,5
Al-Madina,Srinagar,4
Communist Party of India - Maoist (CPI-Maoist),Bokaro,4
Communist Party of India - Maoist (CPI-Maoist),Gumla,4
Communist Party of India - Maoist (CPI-Maoist),Hazaribag,4
Communist Party of India - Maoist (CPI-Maoist),Rohtas,4
Communist Party of India - Maoist (CPI-Maoist),Warangal,4
National Democratic Front of Bodoland (NDFB),Karbi Anglong,4
National Socialist Council of Nagaland-Khaplang (NSCN-K),Dimapur,4
Students Islamic Movement of India (SIMI),Mumbai,4
United Liberation Front of Assam (ULFA),Dhubri,4
United Liberation Front of Assam (ULFA),Goalpara,4
United Liberation Front of Assam (ULFA),Kamrup,4
United Liberation Front of Assam (ULFA),Sonari,4
Al-Arifeen,Srinagar,3
Communist Party of India - Maoist (CPI-Maoist),Balrampur,3
Communist Party of India - Maoist (CPI-Maoist),East Champaran,3
