gname,attacktype1_txt,city
muslims,Unknown,Rai
terrorists,Unknown,Rai
bandits,Unknown,Rai
muslims,Unknown,Rai
tamils,Unknown,Rai
muslims,Unknown,Rai
terrorists,Unknown,Rai
extremists,Unknown,Rai
muslims,Unknown,Rai
militants,Unknown,Rai
muslims,Unknown,Rai
muslims,Unknown,Rai
coordination\scommittee,Unknown,Rai
terrorists,Unknown,Rai
extremists,Unknown,Rai
muslims,Unknown,Rai
muslims,Unknown,Rai
youths,Unknown,Rai
terrorists,Unknown,Rai
extremists,Unknown,Rai
muslims,Unknown,Rai
tamils,Unknown,Rai
militants,Unknown,Rai
muslims,bombing,Unknown
terrorists,bombing,Unknown
militants,bombing,Unknown
muslims,Unknown,Rai
youths,Unknown,Rai
miscreants,Unknown,Rai
terrorists,Unknown,Rai
muslims,Unknown,Unknown
gunmen,Unknown,Unknown
youths,Unknown,Unknown
bandits,Unknown,Tral
muslims,Unknown,Tral
shiv\ssena,Unknown,Tral
muslims,Unknown,Rai
shiv\ssena,Unknown,Rai
iranians,Unknown,Rai
palestinians,Unknown,Rai
terrorists,Unknown,Rai
militants,Unknown,Rai
gunmen,Unknown,Rai
gunmen,Unknown,Unknown
palestinians,Unknown,Rai
palestinians,Unknown,Unknown
muslims,Unknown,Rai
palestinians,Unknown,Rai
terrorists,Unknown,Rai
bandits,Unknown,Rai
muslims,Unknown,Rai
youths,Unknown,Rai
palestinians,Unknown,Rai
bandits,Unknown,Rai
youths,Unknown,Rai
palestinians,Unknown,Rai
palestinians,Unknown,Rai
dissident,Unknown,Rai
muslims,Unknown,Rai
youths,Unknown,Rai
muslims,Unknown,Tral
palestinians,Unknown,Tral
militants,Unknown,Tral
muslims,Unknown,Rai
youths,Unknown,Rai
muslims,Unknown,Rai
militants,Unknown,Rai
muslims,Unknown,Rai
shiv\ssena,Unknown,Rai
palestinians,Unknown,Rai
terrorists,Unknown,Rai
muslims,Unknown,Rai
terrorists,Unknown,Rai
muslims,Unknown,Rai
muslims,Unknown,Unknown
gunmen,Unknown,Unknown
tamils,Unknown,Unknown
militants,Unknown,Unknown
bandits,Unknown,Rai
muslims,Unknown,Rai
terrorists,Unknown,Rai
black\swidows,Unknown,Rai
militants,Unknown,Rai
muslims,Unknown,Rai
militants,Unknown,Rai
muslims,Unknown,Rai
muslims,Unknown,Rai
youths,Unknown,Rai
militants,Unknown,Rai
muslims,Unknown,Rai
