Source,Target,Weight
Lashkar-e-Taiba (LeT),Ajmer,1
Lashkar-e-Taiba (LeT),Anantnag,1
Lashkar-e-Taiba (LeT),Awantipora,1
Lashkar-e-Taiba (LeT),Bachay,1
Lashkar-e-Taiba (LeT),Balipora,1
Lashkar-e-Taiba (LeT),Bangalore,1
Lashkar-e-Taiba (LeT),Banihal,1
Lashkar-e-Taiba (LeT),Baramula,1
Lashkar-e-Taiba (LeT),Bela,2
Lashkar-e-Taiba (LeT),Budgam District,2
Lashkar-e-Taiba (LeT),Bun Doda,1
Lashkar-e-Taiba (LeT),Chadisinghpoora,1
Lashkar-e-Taiba (LeT),Dangiwachi,1
Lashkar-e-Taiba (LeT),Doda,7
Lashkar-e-Taiba (LeT),Doda (District),1
Lashkar-e-Taiba (LeT),Garoora,1
Lashkar-e-Taiba (LeT),Goon Dhar,1
Lashkar-e-Taiba (LeT),Handawar,1
Lashkar-e-Taiba (LeT),Handwara,1
Lashkar-e-Taiba (LeT),Jammu,6
Lashkar-e-Taiba (LeT),Kaluchak,1
Lashkar-e-Taiba (LeT),Karimnagar,1
Lashkar-e-Taiba (LeT),Kashmir,1
Lashkar-e-Taiba (LeT),Khannabal,1
Lashkar-e-Taiba (LeT),Kishtwar,2
Lashkar-e-Taiba (LeT),Kulgam,2
Lashkar-e-Taiba (LeT),Kupwara,1
Lashkar-e-Taiba (LeT),Magam,1
Lashkar-e-Taiba (LeT),Majra Bambal,1
Lashkar-e-Taiba (LeT),Malachamlan,1
Lashkar-e-Taiba (LeT),Mumbai,1
Lashkar-e-Taiba (LeT),Nadi Marg,1
Lashkar-e-Taiba (LeT),New Delhi,5
Lashkar-e-Taiba (LeT),Pahalgam,1
Lashkar-e-Taiba (LeT),Patan,1
Lashkar-e-Taiba (LeT),Poonch,3
Lashkar-e-Taiba (LeT),Poonch District,1
Lashkar-e-Taiba (LeT),Punch,1
Lashkar-e-Taiba (LeT),Rafiabad,1
Lashkar-e-Taiba (LeT),Rajauri,3
Lashkar-e-Taiba (LeT),Rajouri,1
Lashkar-e-Taiba (LeT),Rampur,1
Lashkar-e-Taiba (LeT),Sajjar,1
Lashkar-e-Taiba (LeT),Sheeri,1
Lashkar-e-Taiba (LeT),Shrotidar,1
Lashkar-e-Taiba (LeT),Srinagar,15
Lashkar-e-Taiba (LeT),Srinigar,1
Lashkar-e-Taiba (LeT),Surankote,1
Lashkar-e-Taiba (LeT),Thanna Mand,1
Lashkar-e-Taiba (LeT),Todi-Poonch,1
Lashkar-e-Taiba (LeT),Udhampur,1
Lashkar-e-Taiba (LeT),Hyderabad,1
Lashkar-e-Taiba (LeT),New Delhi,7
