source,target,type
2000,Business,Directed
2000,Educational Institution,Directed
2000,Government (General),Directed
2000,Journalists & Media,Directed
2000,Military,Directed
2000,Police,Directed
2000,Private Citizens & Property,Directed
2000,Religious Figures/Institutions,Directed
2000,Tourists,Directed
2000,Transportation,Directed
2000,Utilities,Directed
2000,Violent Political Party,Directed
2001,Airports & Aircraft,Directed
2001,Business,Directed
2001,Educational Institution,Directed
2001,Government (General),Directed
2001,Military,Directed
2001,Police,Directed
2001,Private Citizens & Property,Directed
2001,Religious Figures/Institutions,Directed
2001,Telecommunication,Directed
2001,Terrorists/Non-State Militia,Directed
2001,Transportation,Directed
2001,Unknown,Directed
2001,Utilities,Directed
2001,Violent Political Party,Directed
2002,Airports & Aircraft,Directed
2002,Business,Directed
2002,Educational Institution,Directed
2002,Government (General),Directed
2002,Journalists & Media,Directed
2002,Military,Directed
2002,Police,Directed
2002,Private Citizens & Property,Directed
2002,Religious Figures/Institutions,Directed
2002,Transportation,Directed
2003,Business,Directed
2003,Educational Institution,Directed
2003,Government (General),Directed
2003,Journalists & Media,Directed
2003,Military,Directed
2003,NGO,Directed
2003,Police,Directed
2003,Private Citizens & Property,Directed
2003,Religious Figures/Institutions,Directed
2003,Telecommunication,Directed
2003,Tourists,Directed
2003,Transportation,Directed
2003,Unknown,Directed
2003,Utilities,Directed
2003,Violent Political Party,Directed
2004,Business,Directed
2004,Educational Institution,Directed
2004,Government (General),Directed
2004,Military,Directed
2004,Police,Directed
2004,Private Citizens & Property,Directed
2004,Religious Figures/Institutions,Directed
2004,Terrorists/Non-State Militia,Directed
2004,Tourists,Directed
2004,Transportation,Directed
2004,Unknown,Directed
2004,Utilities,Directed
2005,Business,Directed
2005,Educational Institution,Directed
2005,Government (General),Directed
2005,Military,Directed
2005,Police,Directed
2005,Private Citizens & Property,Directed
2005,Religious Figures/Institutions,Directed
2005,Telecommunication,Directed
2005,Terrorists/Non-State Militia,Directed
2005,Transportation,Directed
2005,Utilities,Directed
2006,Business,Directed
2006,Educational Institution,Directed
2006,Government (General),Directed
2006,Journalists & Media,Directed
2006,Military,Directed
2006,Other,Directed
2006,Police,Directed
2006,Private Citizens & Property,Directed
2006,Religious Figures/Institutions,Directed
2006,Telecommunication,Directed
2006,Tourists,Directed
2006,Transportation,Directed
2006,Unknown,Directed
2006,Utilities,Directed
2006,Violent Political Party,Directed
2007,Business,Directed
2007,Educational Institution,Directed
2007,Government (General),Directed
2007,Military,Directed
2007,Police,Directed
2007,Private Citizens & Property,Directed
2007,Religious Figures/Institutions,Directed
2007,Terrorists/Non-State Militia,Directed
2007,Transportation,Directed
2007,Unknown,Directed
2007,Utilities,Directed
2007,Violent Political Party,Directed
2008,Business,Directed
2008,Educational Institution,Directed
2008,Food or Water Supply,Directed
2008,Government (General),Directed
2008,Journalists & Media,Directed
2008,Maritime,Directed
2008,Military,Directed
2008,NGO,Directed
2008,Other,Directed
2008,Police,Directed
2008,Private Citizens & Property,Directed
2008,Religious Figures/Institutions,Directed
2008,Telecommunication,Directed
2008,Terrorists/Non-State Militia,Directed
2008,Tourists,Directed
2008,Transportation,Directed
2008,Unknown,Directed
2008,Utilities,Directed
2008,Violent Political Party,Directed
2009,Business,Directed
2009,Educational Institution,Directed
2009,Government (General),Directed
2009,Journalists & Media,Directed
2009,Military,Directed
2009,NGO,Directed
2009,Other,Directed
2009,Police,Directed
2009,Private Citizens & Property,Directed
2009,Religious Figures/Institutions,Directed
2009,Telecommunication,Directed
2009,Terrorists/Non-State Militia,Directed
2009,Tourists,Directed
2009,Transportation,Directed
2009,Unknown,Directed
