Gname,Attack,Location
muslims,Unknown,Imphal
muslims,Unknown,Shopian
muslims,Unknown,Sonitpur\sdistrict
muslims,Unknown,Sukma\sdistrict
muslims,Unknown,Maharabi\slamkhai
muslims,Unknown,Gulmarg
muslims,Unknown,Dhalbhumgarh
muslims,Unknown,Labdanguri
muslims,Unknown,Bomia
muslims,Unknown,Shopian\sdistrict
muslims,Unknown,Nakkapalli
muslims,Unknown,Parsurampara
muslims,Unknown,Shikaripara
muslims,Unknown,Pakhiriguri
muslims,Unknown,Moreh
muslims,Unknown,Mukkali
muslims,Unknown,Patgaon
muslims,Unknown,Dharambandha
muslims,Unknown,Duarmara
muslims,Unknown,Rongrakgre
muslims,Unknown,Tral
muslims,Unknown,Bishenpur\sdistrict
muslims,Unknown,Rai
muslims,Unknown,Sonarpur
muslims,Unknown,Amrui
muslims,Unknown,Rajouri\sdistrict
muslims,Unknown,Parganas\sdistrict
muslims,Unknown,Chandra\sNagar
muslims,Unknown,Sopore
muslims,Unknown,Kirwala
muslims,Unknown,Chulabhat
muslims,Unknown,Srinagar
muslims,Unknown,Guwahati
muslims,Unknown,Unknown
muslims,Unknown,Bongaigaon
muslims,Unknown,Roorkee
muslims,Unknown,Dhekiajuli
muslims,Unknown,Moirang
muslims,Unknown,Langol\sGames
muslims,Unknown,Bijni
muslims,Unknown,Umrangso
muslims,Unknown,Pathgatha
muslims,Unknown,Rajgarh
muslims,Unknown,Chatra
muslims,Unknown,Dhurli
muslims,Unknown,Latehar\sdistrict
muslims,Unknown,Thoubal\sdistrict
muslims,Unknown,Arnia
muslims,Unknown,Hiangtam
muslims,Unknown,Amrapara
muslims,Unknown,Khantlang
muslims,Unknown,Dambuk\sAga
muslims,Unknown,Sarkeguda
muslims,Unknown,Satyanarayanapuram
muslims,Unknown,Mohara
muslims,Unknown,Roro
muslims,Unknown,Siju
muslims,Unknown,Bhagalpur\sdistrict
muslims,Unknown,Mariani
muslims,Unknown,Tinsukia
muslims,Unknown,Jeypore
muslims,Unknown,Bijapur\sdistrict
