Source,Target,Weight
Al Nasirin (India),Srinagar,2
Al-Arifeen,Srinagar,3
Al-Badr,Srinagar,1
Al-Fajr,Srinagar,1
Al-Hamas Mujahideen,Srinagar,1
Al-Madina,Srinagar,4
Al-Mansoorian,Srinagar,10
Al-Nasireen Group,Srinagar,1
Al-Umar Mujahideen,Srinagar,2
Gunmen,Srinagar,1
Hizbul Mujahideen (HM),Srinagar,14
Hizbul Mujahideen (HM),Srinagar and Baramula,1
Hizbul Mujahideen (HM),Srinigar,1
Islamic Front,Srinagar,1
Jaish-e-Mohammad (JeM),Srinagar,9
Jamiat ul-Mujahedin (JuM),Srinagar,1
Kashmir Freedom Force,Srinagar,1
Lashkar-e-Jhangvi,Srinagar,1
Lashkar-e-Taiba (LeT),Srinagar,15
Lashkar-e-Taiba (LeT),Srinigar,1
Militants,Srinagar,1
Muslim Rebels,Srinagar,1
Muslim Separatists,Srinagar,2
Save Kashmir Movement,Srinagar,1
Jaish-e-Mohammad (JeM),Srinagar,6
