gname,attacktype1_txt,city
naxalites,assassination,Srinagar
naxalites,assassination,Guwahati
naxalites,assassination,Sukma district
naxalites,assassination,Rai
naxalites,assassination,Anantnag
naxalites,assassination,New Delhi
naxalites,assassination,Tral
naxalites,assassination,Bengaluru
naxalites,assassination,Roro
naxalites,assassination,Sonitpur district
naxalites,assassination,Sopore
naxalites,assassination,Parganas district
naxalites,assassination,Gaya district
naxalites,hijacking,Srinagar
naxalites,hijacking,Guwahati
naxalites,hijacking,Sukma district
naxalites,hijacking,Rai
naxalites,hijacking,Anantnag
naxalites,hijacking,New Delhi
naxalites,hijacking,Tral
naxalites,hijacking,Bengaluru
naxalites,hijacking,Roro
naxalites,hijacking,Sonitpur district
naxalites,hijacking,Sopore
naxalites,hijacking,Parganas district
naxalites,hijacking,Gaya district
naxalites,kidnapping,Srinagar
naxalites,kidnapping,Guwahati
naxalites,kidnapping,Sukma district
naxalites,kidnapping,Rai
naxalites,kidnapping,Anantnag
naxalites,kidnapping,New Delhi
naxalites,kidnapping,Tral
naxalites,kidnapping,Bengaluru
naxalites,kidnapping,Roro
naxalites,kidnapping,Sonitpur district
naxalites,kidnapping,Sopore
naxalites,kidnapping,Parganas district
naxalites,kidnapping,Gaya district
naxalites,bombing,Srinagar
naxalites,bombing,Guwahati
naxalites,bombing,Sukma district
naxalites,bombing,Rai
naxalites,bombing,Anantnag
naxalites,bombing,New Delhi
naxalites,bombing,Tral
naxalites,bombing,Bengaluru
naxalites,bombing,Roro
naxalites,bombing,Sonitpur district
naxalites,bombing,Sopore
naxalites,bombing,Parganas district
naxalites,bombing,Gaya district
insurgents,assassination,Srinagar
insurgents,assassination,Guwahati
insurgents,assassination,Sukma district
insurgents,assassination,Rai
insurgents,assassination,Anantnag
insurgents,assassination,New Delhi
insurgents,assassination,Tral
insurgents,assassination,Bengaluru
insurgents,assassination,Roro
insurgents,assassination,Sonitpur district
insurgents,assassination,Sopore
insurgents,assassination,Parganas district
insurgents,assassination,Gaya district
insurgents,hijacking,Srinagar
insurgents,hijacking,Guwahati
insurgents,hijacking,Sukma district
insurgents,hijacking,Rai
insurgents,hijacking,Anantnag
insurgents,hijacking,New Delhi
insurgents,hijacking,Tral
insurgents,hijacking,Bengaluru
insurgents,hijacking,Roro
insurgents,hijacking,Sonitpur district
insurgents,hijacking,Sopore
insurgents,hijacking,Parganas district
insurgents,hijacking,Gaya district
insurgents,kidnapping,Srinagar
insurgents,kidnapping,Guwahati
insurgents,kidnapping,Sukma district
insurgents,kidnapping,Rai
insurgents,kidnapping,Anantnag
insurgents,kidnapping,New Delhi
insurgents,kidnapping,Tral
insurgents,kidnapping,Bengaluru
insurgents,kidnapping,Roro
insurgents,kidnapping,Sonitpur district
insurgents,kidnapping,Sopore
insurgents,kidnapping,Parganas district
insurgents,kidnapping,Gaya district
insurgents,bombing,Srinagar
insurgents,bombing,Guwahati
insurgents,bombing,Sukma district
insurgents,bombing,Rai
insurgents,bombing,Anantnag
insurgents,bombing,New Delhi
insurgents,bombing,Tral
insurgents,bombing,Bengaluru
insurgents,bombing,Roro
insurgents,bombing,Sonitpur district
insurgents,bombing,Sopore
insurgents,bombing,Parganas district
insurgents,bombing,Gaya district
youths,assassination,Srinagar
youths,assassination,Guwahati
youths,assassination,Sukma district
youths,assassination,Rai
youths,assassination,Anantnag
youths,assassination,New Delhi
youths,assassination,Tral
youths,assassination,Bengaluru
youths,assassination,Roro
youths,assassination,Sonitpur district
