Source,Target,Weight
United Liberation Front of Assam (ULFA),Abhayapuri,1
United Liberation Front of Assam (ULFA),Athgaon,1
United Liberation Front of Assam (ULFA),Bahajan,1
United Liberation Front of Assam (ULFA),Bamungopha,1
United Liberation Front of Assam (ULFA),Barpeta,1
United Liberation Front of Assam (ULFA),Belbari,1
United Liberation Front of Assam (ULFA),Bishnupur-Sankuchi village,1
United Liberation Front of Assam (ULFA),Bismile,1
United Liberation Front of Assam (ULFA),Boko,1
United Liberation Front of Assam (ULFA),Bokulani,1
United Liberation Front of Assam (ULFA),Bongaigaon,8
United Liberation Front of Assam (ULFA),Borhat,1
United Liberation Front of Assam (ULFA),Butibari,1
United Liberation Front of Assam (ULFA),Darrang,2
United Liberation Front of Assam (ULFA),Dhekiagula,1
United Liberation Front of Assam (ULFA),Dhekiajuli,1
United Liberation Front of Assam (ULFA),Dhemaji,1
United Liberation Front of Assam (ULFA),Dhubri,4
United Liberation Front of Assam (ULFA),Dibrugarh,3
United Liberation Front of Assam (ULFA),Digboi,2
United Liberation Front of Assam (ULFA),Dimapur,1
United Liberation Front of Assam (ULFA),Dispur,1
United Liberation Front of Assam (ULFA),Doodooma,1
United Liberation Front of Assam (ULFA),Duliajan,1
United Liberation Front of Assam (ULFA),Durga Puja,1
United Liberation Front of Assam (ULFA),Gauripar,1
United Liberation Front of Assam (ULFA),Gaurisagar,1
United Liberation Front of Assam (ULFA),Gawahati,1
United Liberation Front of Assam (ULFA),Goalpara,4
United Liberation Front of Assam (ULFA),Gossaigaon,2
United Liberation Front of Assam (ULFA),Guwahati,29
United Liberation Front of Assam (ULFA),Hajo,1
United Liberation Front of Assam (ULFA),Jonai,1
United Liberation Front of Assam (ULFA),Jorhat,1
United Liberation Front of Assam (ULFA),Kakogam,1
United Liberation Front of Assam (ULFA),Kakotibari,1
United Liberation Front of Assam (ULFA),Kamrup,4
United Liberation Front of Assam (ULFA),Karbi Anglong,1
United Liberation Front of Assam (ULFA),Kathalguri,1
United Liberation Front of Assam (ULFA),Kokrajhar,2
United Liberation Front of Assam (ULFA),Kumarpara,1
United Liberation Front of Assam (ULFA),Kunwarpur,1
United Liberation Front of Assam (ULFA),Lakhimpur District,1
United Liberation Front of Assam (ULFA),Mahmara,1
United Liberation Front of Assam (ULFA),Majuli Bargora,1
United Liberation Front of Assam (ULFA),Makum,1
United Liberation Front of Assam (ULFA),Maladhara,1
United Liberation Front of Assam (ULFA),Mangaldai,1
United Liberation Front of Assam (ULFA),Moreh,1
United Liberation Front of Assam (ULFA),Muktapur,1
United Liberation Front of Assam (ULFA),Murkongselek,1
United Liberation Front of Assam (ULFA),Nagaon,2
United Liberation Front of Assam (ULFA),Naholia,1
United Liberation Front of Assam (ULFA),Nalbari,3
United Liberation Front of Assam (ULFA),Narengi,3
United Liberation Front of Assam (ULFA),North Cachar Hills,2
United Liberation Front of Assam (ULFA),Panbazar,1
United Liberation Front of Assam (ULFA),Rangjuli,1
United Liberation Front of Assam (ULFA),Sadiya,2
United Liberation Front of Assam (ULFA),Sagolia,1
United Liberation Front of Assam (ULFA),Sibasagar,1
United Liberation Front of Assam (ULFA),Simuluguri,1
United Liberation Front of Assam (ULFA),Sivasagar,2
United Liberation Front of Assam (ULFA),Sonari,4
United Liberation Front of Assam (ULFA),Tangla,1
United Liberation Front of Assam (ULFA),Tezpur,1
United Liberation Front of Assam (ULFA),Thoubal,1
United Liberation Front of Assam (ULFA),Tihu,1
United Liberation Front of Assam (ULFA),Tinsukia,10
United Liberation Front of Assam (ULFA),Udalguri,2
